rank	token_a	token_b	count_a	count_b	regime_js	distance_js_1_5	distance_js_6_10	distance_js_11_20	regime_expected_1_5	residual_1_5	concentration_a	concentration_b	local_shuffle_retained_fraction	retained_effect
14	x009497	x010315	53	179	0.8163285864107636	0.28315280223329065	0.18316240885763738	0.20592532626924723	0.5334123280350449	-0.2502595258017541	0.004535483162709426	0.004669156803002576	0.8019306324798914	-1.02239068893736
15	x006383	x010055	84	91	0.8118205763310433	0.33100475497088705	0.2045937452402911	0.22281374216729719	0.6708552053122537	-0.33985045034136674	0.004627621882086039	0.004720048152397131	1.0042471298297415	0.24322781169974275
16	x004929	x010054	45	102	0.8020342750091746	0.2406563566736854	0.1993312580863757	0.20863765327724731	0.5919320595309132	-0.35127570285722776	0.00513977623456797	0.004691100822976336	2.84238582011242	0.9112191986486196
17	x008353	x010617	41	67	0.7944988794065062	0.23700309097948685	0.1703923091465118	0.1704744907923865	0.5744970938895968	-0.3374940029101099	0.0047068337299225665	0.004760473518601092	0.9134091390744954	-0.060941870918535736
18	x008248	x010617	35	67	0.7939003715972381	0.238621792869146	0.16147765611212195	0.15464949751268464	0.6139478801451663	-0.37532608727602024	0.004725892857142924	0.004760473518601092	0.8531860579822949	-0.127682974251148
19	x008352	x010617	32	67	0.792366258625075	0.21612858604633414	0.13758425625969362	0.15887328249856042	0.5753494161731764	-0.3592208301268423	0.004647293090820253	0.004760473518601092	0.9716157831952593	-0.7624832138017301
20	x005842	x010617	29	67	0.7816617594445983	0.19453602592444658	0.16836398120924656	0.13079083181051174	0.5373418889591921	-0.3428058630347454	0.005084441884661064	0.004760473518601092	0.9080034074358057	0.5514682713933106
21	x006050	x010484	40	50	0.7812755194520435	0.1874707852771769	0.17521813500711794	0.1349858610945851	0.5479580362169403	-0.36048725093976347	0.004757958984374994	0.004636156249999966	1.0156640596539384	0.8248153181263872
22	x005731	x010617	38	67	0.7774425590873411	0.23007357093067693	0.15893199335128055	0.19487047004019764	0.6054938854324086	-0.3754203145017317	0.004346000692520748	0.004760473518601092	0.8324120697714606	0.2496761404940445
23	x005730	x010485	32	46	0.770572048305624	0.2001777728788366	0.1563340881416982	0.12384644712421726	0.5570117926440304	-0.35683401976519386	0.004614028930664012	0.004667562618147357	0.8832384882505842	-0.3893914292983042
24	x005730	x010617	32	67	0.7666353068612575	0.25885055356161313	0.15003505130065534	0.14654918713955473	0.49876206198812084	-0.23991150842650769	0.004614028930664012	0.004760473518601092	0.6873782407697722	-3.9362584179726055
25	x005843	x010617	24	67	0.7598704216453369	0.20315093169843362	0.15541307071768345	0.11765833586906452	0.4714708339892881	-0.26831990229085445	0.004763861762152732	0.004760473518601092	0.8010504332952598	-1.6639636546482017
26	x005843	x010616	24	67	0.7560202033975547	0.18524152576956776	0.12835358023725735	0.09856716589322442	0.45620908225318574	-0.2709675564836179	0.004763861762152732	0.004684628397193221	0.9255897588860138	-3.8782930400057216
