Unit	WindowSize	Lag	Pairs	MeanDistance	Median	CILo	CIHi	NullMean
TOKEN	10	6	19680	0.717630554	0.616441400	0.711156518	0.723160736	0.847346849
TOKEN	10	7	19679	0.724687021	0.616441400	0.718758513	0.731455198	0.845449399
TOKEN	10	8	19678	0.731237142	0.624499800	0.724443066	0.738138980	0.843263339
TOKEN	10	9	19677	0.734698421	0.624499800	0.728966762	0.741358325	0.845276565
TOKEN	10	10	19676	0.738477377	0.624499800	0.732933146	0.744772950	0.848796558
TOKEN	10	11	19675	0.739664146	0.624499800	0.733915536	0.746587234	0.845533562
TOKEN	10	12	19674	0.740040640	0.624499800	0.733550355	0.747823191	0.849047583
TOKEN	10	13	19673	0.740578769	0.629356458	0.735153255	0.747303011	0.842706739
TOKEN	10	14	19672	0.742280827	0.624499800	0.735546551	0.749349696	0.844011833
TOKEN	10	15	19671	0.743946166	0.632455532	0.737663540	0.750103446	0.841297976
TOKEN	10	16	19670	0.746500245	0.632455532	0.739805273	0.752386648	0.843958429
TOKEN	10	17	19669	0.748869967	0.637098149	0.743310607	0.755271061	0.841035037
TOKEN	10	18	19668	0.749511213	0.637251561	0.742975597	0.756268567	0.846303690
TOKEN	10	19	19667	0.749012856	0.632455532	0.742200322	0.755335654	0.843721358
TOKEN	10	20	19666	0.748955170	0.632455532	0.742992154	0.755256279	0.844630545
TOKEN	10	21	19665	0.749272412	0.640312424	0.742001021	0.755747975	0.847299304
TOKEN	10	22	19664	0.748058743	0.632455532	0.742696103	0.755031816	0.846851514
TOKEN	10	23	19663	0.747218839	0.632455532	0.740847786	0.753485433	0.843136209
TOKEN	10	24	19662	0.747135291	0.632455532	0.741398041	0.753181747	0.850610359
TOKEN	10	25	19661	0.747981310	0.640312424	0.742262721	0.753411522	0.843332941
TOKEN	10	26	19660	0.749585237	0.640312424	0.742120786	0.757035880	0.845325008
TOKEN	10	27	19659	0.751959378	0.640312424	0.745221446	0.758689623	0.844400141
TOKEN	10	28	19658	0.754177093	0.640312424	0.747956881	0.759844387	0.842287228
TOKEN	10	29	19657	0.755379140	0.640312424	0.748908391	0.761337733	0.841777266
TOKEN	10	30	19656	0.756568779	0.640312424	0.750060775	0.764221183	0.845492401
TOKEN	40	1	3934	0.214668240	0.189751408	0.210838567	0.218415314	0.616770584
TOKEN	40	2	3933	0.316709494	0.277710191	0.310943308	0.321748812	0.614119287
TOKEN	40	3	3932	0.391237385	0.344601219	0.384820762	0.398679224	0.616658410
TOKEN	40	4	3931	0.447472827	0.387045827	0.439981004	0.456343688	0.619832064
TOKEN	40	5	3930	0.459966785	0.395284708	0.450607663	0.467427690	0.620336283
TOKEN	40	6	3929	0.468667451	0.406670133	0.461078911	0.476296600	0.606863104
TOKEN	40	7	3928	0.475611820	0.410030487	0.466900013	0.484679454	0.615790240
TOKEN	40	8	3927	0.483082297	0.420315124	0.474506903	0.493061632	0.619671344
TOKEN	40	9	3926	0.489522883	0.422788363	0.479558462	0.498609289	0.618561723
TOKEN	40	10	3925	0.494193132	0.427200187	0.485264072	0.504512122	0.620015845
TOKEN	40	11	3924	0.498789217	0.431311992	0.489963309	0.507439374	0.617095669
TOKEN	40	12	3923	0.502875454	0.432035918	0.492601320	0.511817963	0.618389348
TOKEN	40	13	3922	0.507259575	0.438035387	0.496790685	0.517124719	0.614905060
TOKEN	40	14	3921	0.510377812	0.434919572	0.501048373	0.519431548	0.613986106
TOKEN	40	15	3920	0.512410931	0.436258253	0.502165758	0.524591005	0.617152286
TOKEN	40	16	3919	0.513957957	0.437321392	0.504044304	0.522855816	0.619395791
TOKEN	40	17	3918	0.513665732	0.434453680	0.503491010	0.523784989	0.611435550
TOKEN	40	18	3917	0.513210450	0.434919572	0.504104355	0.525229369	0.620726664
TOKEN	40	19	3916	0.512987898	0.434453680	0.502999903	0.522557452	0.620694529
TOKEN	40	20	3915	0.514953729	0.436750229	0.504725852	0.526379858	0.608587219
TOKEN	40	21	3914	0.518541476	0.444044336	0.508026046	0.528897445	0.619305632
TOKEN	40	22	3913	0.521453492	0.449782694	0.513360976	0.533275631	0.618819218
TOKEN	40	23	3912	0.525113044	0.449796277	0.514760864	0.535158404	0.611219113
TOKEN	40	24	3911	0.528470335	0.448849355	0.519523070	0.537924348	0.620444519
TOKEN	40	25	3910	0.531697945	0.450693909	0.519310679	0.542393033	0.620133631
TOKEN	40	26	3909	0.529932941	0.448336477	0.519693426	0.541814356	0.615697542
TOKEN	40	27	3908	0.530072454	0.446055763	0.519732136	0.539727012	0.623048126
TOKEN	40	28	3907	0.529848504	0.453458929	0.518131968	0.538958631	0.619714757
TOKEN	40	29	3906	0.529075937	0.450693909	0.519102941	0.540325356	0.618424296
TOKEN	40	30	3905	0.531139669	0.450051654	0.521862226	0.542096884	0.620723531
TOKEN	80	1	1965	0.178340677	0.160078106	0.173960511	0.183146164	0.570432371
TOKEN	80	2	1964	0.265272118	0.235433711	0.258070883	0.271542554	0.576638562
TOKEN	80	3	1963	0.331188486	0.283821661	0.322698398	0.339918223	0.557582438
TOKEN	80	4	1962	0.383838245	0.333108903	0.374335685	0.396215457	0.565488526
TOKEN	80	5	1961	0.400739294	0.344965794	0.392071553	0.412892729	0.562334218
TOKEN	80	6	1960	0.412187432	0.354956709	0.400654448	0.424375101	0.572348215
TOKEN	80	7	1959	0.420505913	0.361885503	0.408672151	0.433830076	0.563360660
TOKEN	80	8	1958	0.425493999	0.368298765	0.413560673	0.437560838	0.562031985
TOKEN	80	9	1957	0.430299913	0.376060882	0.419015191	0.441673138	0.577304562
TOKEN	80	10	1956	0.437792800	0.380972905	0.424389526	0.450451207	0.570433002
TOKEN	80	11	1955	0.444417591	0.382620446	0.433564129	0.457578243	0.563865870
TOKEN	80	12	1954	0.449627477	0.386894689	0.438162435	0.462340112	0.560673917
TOKEN	80	13	1953	0.452379846	0.393903021	0.438402737	0.465163521	0.570026298
TOKEN	80	14	1952	0.453366891	0.390307724	0.440135316	0.465675599	0.572595211
TOKEN	80	15	1951	0.455510728	0.393784530	0.441603750	0.467286386	0.564600138
TOKEN	80	16	1950	0.456997086	0.397182009	0.443660159	0.468346741	0.553500003
TOKEN	80	17	1949	0.457812574	0.392111130	0.445830227	0.469217777	0.566035474
TOKEN	80	18	1948	0.458645429	0.394774680	0.445704897	0.470578120	0.570590463
TOKEN	80	19	1947	0.457528997	0.392880442	0.446919426	0.469166290	0.572859782
TOKEN	80	20	1946	0.456636222	0.391710990	0.443052907	0.469251727	0.568152027
TOKEN	80	21	1945	0.456127782	0.393433654	0.442913298	0.468822409	0.569061651
TOKEN	80	22	1944	0.454502591	0.387685836	0.442007081	0.466303504	0.562152149
TOKEN	80	23	1943	0.453767021	0.385098003	0.441030093	0.466240236	0.566401520
TOKEN	80	24	1942	0.454529336	0.391511494	0.443359569	0.466908973	0.566008230
TOKEN	80	25	1941	0.452619302	0.391398898	0.440859022	0.464366660	0.567677246
TOKEN	80	26	1940	0.453459938	0.394108830	0.442015153	0.467227170	0.566646648
TOKEN	80	27	1939	0.454996128	0.389453783	0.442311077	0.465218521	0.570872722
TOKEN	80	28	1938	0.455695906	0.400390434	0.443379244	0.469435638	0.570866272
TOKEN	80	29	1937	0.459237010	0.400516864	0.448712905	0.471223143	0.564898156
TOKEN	80	30	1936	0.464243646	0.406865410	0.449928999	0.478821159	0.565887284
LINE	0	1	3538	0.830537565	0.730500885	0.816303823	0.846259065	0.891443765
LINE	0	2	3314	0.858282656	0.771067701	0.842554122	0.873904969	0.897873608
LINE	0	3	3092	0.864074375	0.763299566	0.847813140	0.882878296	0.893418042
LINE	0	4	2884	0.883257152	0.773716808	0.862035541	0.901364730	0.896771123
LINE	0	5	2680	0.888791518	0.798956851	0.869010824	0.904247298	0.889919753
LINE	0	6	2480	0.903113319	0.803845911	0.884541815	0.925437138	0.897957341
LINE	0	7	2288	0.893366285	0.802399717	0.875458355	0.914095187	0.905075060
LINE	0	8	2112	0.905885667	0.815969337	0.885354568	0.928421847	0.900908152
LINE	0	9	1953	0.904240898	0.816064753	0.880611835	0.924137941	0.894582105
LINE	0	10	1804	0.913644637	0.816364882	0.884394369	0.936389391	0.893120858
PAGE	0	1	226	0.613784997	0.455095290	0.526301159	0.706534857	1.109218436
PAGE	0	2	225	0.712851930	0.587465784	0.617240083	0.834962826	1.060558031
PAGE	0	3	224	0.724034875	0.580035030	0.639049369	0.812509623	1.123194977
PAGE	0	4	223	0.726575300	0.602274745	0.650920734	0.812513838	1.163003075
PAGE	0	5	222	0.734010972	0.600321814	0.655086918	0.835575190	1.048871456
PAGE	0	6	221	0.725329997	0.572537519	0.637092358	0.816052507	1.076830336
PAGE	0	7	220	0.733812017	0.603129364	0.650532576	0.829188428	1.038377678
PAGE	0	8	219	0.775121518	0.618265996	0.693392993	0.867654459	1.042210307
PAGE	0	9	218	0.784457955	0.675432322	0.682894999	0.882128298	1.132322065
PAGE	0	10	217	0.771774417	0.629753291	0.690064149	0.865646457	1.150499888
