Position	Page	Line	Score	Significance	Discovery	Replication	MetadataBoundary
760	f4v	109	0.187082869	NOT_SIGNIFICANT	YES	NO	PAGE
780	f4v	112	0.561248608	NOT_SIGNIFICANT	YES	NO	NONE
800	f4v	116	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
820	f4v	119	0.494974747	NOT_SIGNIFICANT	YES	NO	PAGE
840	f5r	123	0.370809924	NOT_SIGNIFICANT	YES	NO	PAGE
860	f5r	125	0.396862697	NOT_SIGNIFICANT	YES	NO	NONE
880	f5r	127	0.587367006	NOT_SIGNIFICANT	YES	NO	PAGE
900	f5v	130	0.417159907	NOT_SIGNIFICANT	YES	NO	PAGE
920	f5v	132	0.271711037	NOT_SIGNIFICANT	YES	NO	PAGE
940	f6r	135	0.392207710	NOT_SIGNIFICANT	YES	NO	PAGE
960	f6r	137	0.662587645	NOT_SIGNIFICANT	YES	NO	NONE
980	f6r	140	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
1000	f6r	144	0.438748219	NOT_SIGNIFICANT	YES	NO	NONE
1020	f6r	148	0.657647322	NOT_SIGNIFICANT	YES	NO	PAGE
1040	f6v	150	0.512347538	NOT_SIGNIFICANT	YES	NO	PAGE
1060	f6v	152	0.540832691	NOT_SIGNIFICANT	YES	NO	NONE
1080	f6v	156	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
1100	f6v	161	0.711772532	NOT_SIGNIFICANT	YES	NO	NONE
1120	f6v	164	1.098462625	P95	YES	NO	PAGE
1140	f7r	170	0.370809924	NOT_SIGNIFICANT	YES	NO	PAGE
1160	f7r	172	0.316227766	NOT_SIGNIFICANT	YES	NO	NONE
1180	f7r	176	0.636396103	NOT_SIGNIFICANT	YES	NO	NONE
1200	f7r	178	0.158113883	NOT_SIGNIFICANT	YES	NO	PAGE
1220	f7v	181	0.681909085	NOT_SIGNIFICANT	YES	NO	PAGE
1240	f7v	183	1.189537725	P99	YES	NO	NONE
1260	f7v	186	1.009950494	P95	YES	NO	NONE
1280	f7v	188	0.324037035	NOT_SIGNIFICANT	YES	NO	PAGE
1300	f8r	190	0.257919344	NOT_SIGNIFICANT	YES	NO	PAGE
1320	f8r	193	0.423110373	NOT_SIGNIFICANT	YES	NO	NONE
1340	f8r	196	0.384057287	NOT_SIGNIFICANT	YES	NO	NONE
1360	f8r	199	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
1380	f8r	202	0.438748219	NOT_SIGNIFICANT	YES	NO	NONE
1400	f8r	204	0.634428877	NOT_SIGNIFICANT	YES	NO	NONE
1420	f8r	207	0.494974747	NOT_SIGNIFICANT	YES	NO	PAGE
1440	f8v	210	0.644204936	NOT_SIGNIFICANT	YES	NO	PAGE
1460	f8v	212	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
1480	f8v	214	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
1500	f8v	217	0.359128825	NOT_SIGNIFICANT	YES	NO	NONE
1520	f8v	221	0.401898480	NOT_SIGNIFICANT	YES	NO	NONE
1540	f8v	224	0.899483887	NOT_SIGNIFICANT	YES	NO	NONE
1560	f8v	226	0.605451289	NOT_SIGNIFICANT	YES	NO	PAGE
1580	f9r	229	0.339116499	NOT_SIGNIFICANT	YES	NO	PAGE
1600	f9r	231	0.269258240	NOT_SIGNIFICANT	YES	NO	NONE
1620	f9r	233	0.150000000	NOT_SIGNIFICANT	YES	NO	NONE
1640	f9r	235	0.891079339	NOT_SIGNIFICANT	YES	NO	PAGE
1660	f9v	238	1.114170437	P95	YES	NO	PAGE
1680	f9v	240	0.561248608	NOT_SIGNIFICANT	YES	NO	NONE
1700	f9v	242	0.499070399	NOT_SIGNIFICANT	YES	NO	NONE
1720	f9v	245	0.752709282	NOT_SIGNIFICANT	YES	NO	PAGE
1740	f10r	249	0.622494980	NOT_SIGNIFICANT	YES	NO	PAGE
1760	f10r	251	0.353553391	NOT_SIGNIFICANT	YES	NO	NONE
1780	f10r	254	0.223606798	NOT_SIGNIFICANT	YES	NO	NONE
1800	f10r	256	0.610327781	NOT_SIGNIFICANT	YES	NO	NONE
1820	f10r	259	0.602079729	NOT_SIGNIFICANT	YES	NO	PAGE
1840	f10v	262	0.403112887	NOT_SIGNIFICANT	YES	NO	PAGE
1860	f10v	265	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
1880	f10v	267	0.526782688	NOT_SIGNIFICANT	YES	NO	PAGE
1900	f11r	269	0.764213575	NOT_SIGNIFICANT	YES	NO	PAGE
1920	f11r	272	0.662513877	NOT_SIGNIFICANT	YES	NO	NONE
1940	f11r	273	0.769740216	NOT_SIGNIFICANT	YES	NO	PAGE
1960	f11v	276	0.412310563	NOT_SIGNIFICANT	YES	NO	PAGE
1980	f11v	278	0.380788655	NOT_SIGNIFICANT	YES	NO	PAGE
2000	f13r	282	0.435889894	NOT_SIGNIFICANT	YES	NO	PAGE
2020	f13r	284	0.861684397	NOT_SIGNIFICANT	YES	NO	NONE
2040	f13r	286	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
2060	f13r	289	0.659545298	NOT_SIGNIFICANT	YES	NO	PAGE
2080	f13v	292	0.733143915	NOT_SIGNIFICANT	YES	NO	PAGE
2100	f13v	295	0.570087713	NOT_SIGNIFICANT	YES	NO	NONE
2120	f13v	299	1.423903087	P99	YES	NO	NONE
2140	f13v	301	0.674536878	NOT_SIGNIFICANT	YES	NO	PAGE
2160	f14r	304	0.604152299	NOT_SIGNIFICANT	YES	NO	PAGE
2180	f14r	309	0.452769257	NOT_SIGNIFICANT	YES	NO	NONE
2200	f14r	311	0.451688375	NOT_SIGNIFICANT	YES	NO	NONE
2220	f14r	314	0.389258767	NOT_SIGNIFICANT	YES	NO	PAGE
2240	f14v	317	0.278388218	NOT_SIGNIFICANT	YES	NO	PAGE
2260	f14v	319	0.621630628	NOT_SIGNIFICANT	YES	NO	NONE
2280	f14v	321	0.965128755	P95	YES	NO	PAGE
2300	f15r	324	0.387298335	NOT_SIGNIFICANT	YES	NO	PAGE
2320	f15r	327	0.762544106	NOT_SIGNIFICANT	YES	NO	NONE
2340	f15r	331	0.398776112	NOT_SIGNIFICANT	YES	NO	NONE
2360	f15r	334	0.086602540	NOT_SIGNIFICANT	YES	NO	NONE
2380	f15r	337	0.418330013	NOT_SIGNIFICANT	YES	NO	PAGE
2400	f15v	340	0.452769257	NOT_SIGNIFICANT	YES	NO	PAGE
2420	f15v	343	0.616441400	NOT_SIGNIFICANT	YES	NO	NONE
2440	f15v	346	0.588210678	NOT_SIGNIFICANT	YES	NO	NONE
2460	f15v	350	0.781722170	NOT_SIGNIFICANT	YES	NO	PAGE
2480	f16r	352	0.200000000	NOT_SIGNIFICANT	YES	NO	PAGE
2500	f16r	356	0.444409721	NOT_SIGNIFICANT	YES	NO	NONE
2520	f16r	359	0.455521679	NOT_SIGNIFICANT	YES	NO	NONE
2540	f16r	362	0.476969601	NOT_SIGNIFICANT	YES	NO	PAGE
2560	f16v	366	0.790569415	NOT_SIGNIFICANT	YES	NO	PAGE
2580	f16v	369	0.141421356	NOT_SIGNIFICANT	YES	NO	NONE
2600	f16v	372	0.217944947	NOT_SIGNIFICANT	YES	NO	NONE
2620	f16v	375	1.057118726	P95	YES	NO	PAGE
2640	f17r	378	0.606217783	NOT_SIGNIFICANT	YES	NO	PAGE
2660	f17r	381	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
2680	f17r	384	0.331662479	NOT_SIGNIFICANT	YES	NO	NONE
2700	f17r	388	0.665206735	NOT_SIGNIFICANT	YES	NO	PAGE
2720	f17v	392	0.370809924	NOT_SIGNIFICANT	YES	NO	PAGE
2740	f17v	396	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
2760	f17v	399	0.271980722	NOT_SIGNIFICANT	YES	NO	NONE
2780	f17v	403	0.221299600	NOT_SIGNIFICANT	YES	NO	NONE
2800	f17v	406	0.563471383	NOT_SIGNIFICANT	YES	NO	NONE
2820	f17v	409	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
2840	f17v	412	0.715891053	NOT_SIGNIFICANT	YES	NO	PAGE
2860	f18r	415	0.912414380	NOT_SIGNIFICANT	YES	NO	PAGE
2880	f18r	417	0.514781507	NOT_SIGNIFICANT	YES	NO	NONE
2900	f18r	420	0.150000000	NOT_SIGNIFICANT	YES	NO	NONE
2920	f18r	425	0.474341649	NOT_SIGNIFICANT	YES	NO	PAGE
2940	f18v	428	0.723893907	NOT_SIGNIFICANT	YES	NO	PAGE
2960	f18v	431	0.516258063	NOT_SIGNIFICANT	YES	NO	NONE
2980	f18v	433	0.122474487	NOT_SIGNIFICANT	YES	NO	PAGE
3000	f19r	437	0.327871926	NOT_SIGNIFICANT	YES	NO	PAGE
3020	f19r	439	0.385219485	NOT_SIGNIFICANT	YES	NO	NONE
3040	f19r	442	0.922439186	NOT_SIGNIFICANT	YES	NO	NONE
3060	f19r	445	1.269842510	P99	YES	NO	PAGE
3080	f19v	450	0.111803399	NOT_SIGNIFICANT	YES	NO	PAGE
3100	f19v	453	0.764181597	NOT_SIGNIFICANT	YES	NO	NONE
3120	f19v	457	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
3140	f19v	460	0.647394886	NOT_SIGNIFICANT	YES	NO	PAGE
3160	f20r	464	0.320156212	NOT_SIGNIFICANT	YES	NO	PAGE
3180	f20r	467	0.384057287	NOT_SIGNIFICANT	YES	NO	NONE
3200	f20r	470	0.364005494	NOT_SIGNIFICANT	YES	NO	NONE
3220	f20r	473	0.377491722	NOT_SIGNIFICANT	YES	NO	NONE
3240	f20r	475	0.409267639	NOT_SIGNIFICANT	YES	NO	PAGE
3260	f20v	478	0.427200187	NOT_SIGNIFICANT	YES	NO	PAGE
3280	f20v	481	0.543139025	NOT_SIGNIFICANT	YES	NO	NONE
3300	f20v	483	1.022252415	P95	YES	NO	NONE
3320	f20v	485	0.482182538	NOT_SIGNIFICANT	YES	NO	PAGE
3340	f21r	488	0.339116499	NOT_SIGNIFICANT	YES	NO	PAGE
3360	f21r	490	0.522015325	NOT_SIGNIFICANT	YES	NO	NONE
3380	f21r	493	0.514781507	NOT_SIGNIFICANT	YES	NO	NONE
3400	f21r	495	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
3420	f21r	497	0.512347538	NOT_SIGNIFICANT	YES	NO	PAGE
3440	f21v	500	0.526782688	NOT_SIGNIFICANT	YES	NO	PAGE
3460	f21v	502	1.472776719	P99	YES	NO	NONE
3480	f21v	505	0.645461182	NOT_SIGNIFICANT	YES	NO	PAGE
3500	f22r	508	0.316227766	NOT_SIGNIFICANT	YES	NO	PAGE
3520	f22r	510	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
3540	f22r	512	0.364005494	NOT_SIGNIFICANT	YES	NO	NONE
3560	f22r	514	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
3580	f22r	517	0.550000000	NOT_SIGNIFICANT	YES	NO	NONE
3600	f22r	519	0.374165739	NOT_SIGNIFICANT	YES	NO	PAGE
3620	f22v	522	0.522015325	NOT_SIGNIFICANT	YES	NO	PAGE
3640	f22v	524	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
3660	f22v	529	0.177407759	NOT_SIGNIFICANT	YES	NO	NONE
3680	f22v	534	0.379438418	NOT_SIGNIFICANT	YES	NO	PAGE
3700	f23r	537	1.245601215	P99	YES	NO	PAGE
3720	f23r	539	1.159277636	P95	YES	NO	NONE
3740	f23r	541	0.158113883	NOT_SIGNIFICANT	YES	NO	NONE
3760	f23r	543	0.595818764	NOT_SIGNIFICANT	YES	NO	NONE
3780	f23r	545	0.304138127	NOT_SIGNIFICANT	YES	NO	PAGE
3800	f23v	548	0.427200187	NOT_SIGNIFICANT	YES	NO	PAGE
3820	f23v	550	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
3840	f23v	553	0.215577162	NOT_SIGNIFICANT	YES	NO	NONE
3860	f23v	555	0.802449150	NOT_SIGNIFICANT	YES	NO	NONE
3880	f23v	557	0.674536878	NOT_SIGNIFICANT	YES	NO	PAGE
3900	f24r	560	0.430116263	NOT_SIGNIFICANT	YES	NO	PAGE
3920	f24r	564	0.576628130	NOT_SIGNIFICANT	YES	NO	NONE
3940	f24r	567	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
3960	f24r	570	0.415331193	NOT_SIGNIFICANT	YES	NO	NONE
3980	f24r	574	0.528318217	NOT_SIGNIFICANT	YES	NO	NONE
4000	f24r	578	0.582340225	NOT_SIGNIFICANT	YES	NO	PAGE
4020	f24v	581	0.552268051	NOT_SIGNIFICANT	YES	NO	PAGE
4040	f24v	584	0.597913037	NOT_SIGNIFICANT	YES	NO	NONE
4060	f24v	588	0.327871926	NOT_SIGNIFICANT	YES	NO	NONE
4080	f24v	592	0.401959280	NOT_SIGNIFICANT	YES	NO	PAGE
4100	f25r	596	0.395629104	NOT_SIGNIFICANT	YES	NO	PAGE
4120	f25r	598	0.217944947	NOT_SIGNIFICANT	YES	NO	NONE
4140	f25r	602	0.287228132	NOT_SIGNIFICANT	YES	NO	PAGE
4160	f25v	605	0.269258240	NOT_SIGNIFICANT	YES	NO	PAGE
4180	f25v	607	0.437409291	NOT_SIGNIFICANT	YES	NO	NONE
4200	f25v	609	1.175402596	P99	YES	NO	PAGE
4220	f26r	611	0.823103882	NOT_SIGNIFICANT	YES	NO	PAGE
4240	f26r	613	0.137744375	NOT_SIGNIFICANT	YES	NO	NONE
4260	f26r	616	0.539928132	NOT_SIGNIFICANT	YES	NO	NONE
4280	f26r	618	0.380788655	NOT_SIGNIFICANT	YES	NO	PAGE
4300	f26v	620	0.415331193	NOT_SIGNIFICANT	YES	NO	PAGE
4320	f26v	622	0.312249900	NOT_SIGNIFICANT	YES	NO	NONE
4340	f26v	623	0.406201920	NOT_SIGNIFICANT	YES	NO	NONE
4360	f26v	625	0.377491722	NOT_SIGNIFICANT	YES	NO	NONE
4380	f26v	627	0.312249900	NOT_SIGNIFICANT	YES	NO	PAGE
4400	f27r	630	0.747710681	NOT_SIGNIFICANT	YES	NO	PAGE
4420	f27r	632	0.330185384	NOT_SIGNIFICANT	YES	NO	NONE
4440	f27r	634	0.377491722	NOT_SIGNIFICANT	YES	NO	NONE
4460	f27r	637	0.327871926	NOT_SIGNIFICANT	YES	NO	NONE
4480	f27r	640	0.610327781	NOT_SIGNIFICANT	YES	NO	PAGE
4500	f27v	643	0.158113883	NOT_SIGNIFICANT	YES	NO	PAGE
4520	f27v	645	0.282842712	NOT_SIGNIFICANT	YES	NO	NONE
4540	f27v	648	0.524404424	NOT_SIGNIFICANT	YES	NO	PAGE
4560	f28r	651	0.454554879	NOT_SIGNIFICANT	YES	NO	PAGE
4580	f28r	654	0.481269299	NOT_SIGNIFICANT	YES	NO	NONE
4600	f28r	656	0.165831240	NOT_SIGNIFICANT	YES	NO	PAGE
4620	f28v	659	0.861202074	NOT_SIGNIFICANT	YES	NO	PAGE
4640	f28v	662	0.540832691	NOT_SIGNIFICANT	YES	NO	NONE
4660	f28v	665	1.188075077	P99	YES	NO	NONE
4680	f28v	667	0.734846923	NOT_SIGNIFICANT	YES	NO	PAGE
4700	f29r	669	0.430116263	NOT_SIGNIFICANT	YES	NO	PAGE
4720	f29r	673	0.549155045	NOT_SIGNIFICANT	YES	NO	NONE
4740	f29r	675	0.793078504	NOT_SIGNIFICANT	YES	NO	PAGE
4760	f29v	678	0.212132034	NOT_SIGNIFICANT	YES	NO	PAGE
4780	f29v	680	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
4800	f29v	682	0.531507291	NOT_SIGNIFICANT	YES	NO	NONE
4820	f29v	685	0.200000000	NOT_SIGNIFICANT	YES	NO	NONE
4840	f29v	688	0.462625537	NOT_SIGNIFICANT	YES	NO	PAGE
4860	f30r	690	0.516305397	NOT_SIGNIFICANT	YES	NO	PAGE
4880	f30r	693	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
4900	f30r	696	0.522015325	NOT_SIGNIFICANT	YES	NO	NONE
4920	f30r	699	0.681909085	NOT_SIGNIFICANT	YES	NO	PAGE
4940	f30v	702	0.450000000	NOT_SIGNIFICANT	YES	NO	PAGE
4960	f30v	703	0.966953980	P95	YES	NO	NONE
4980	f30v	707	0.377491722	NOT_SIGNIFICANT	YES	NO	NONE
5000	f30v	711	0.285521256	NOT_SIGNIFICANT	YES	NO	PAGE
5020	f31r	714	0.965128755	P95	YES	NO	PAGE
5040	f31r	716	1.459451952	P99	YES	NO	NONE
5060	f31r	719	0.132287566	NOT_SIGNIFICANT	YES	NO	NONE
5080	f31r	723	0.360555128	NOT_SIGNIFICANT	YES	NO	NONE
5100	f31r	726	0.217944947	NOT_SIGNIFICANT	YES	NO	PAGE
5120	f31v	729	0.380788655	NOT_SIGNIFICANT	YES	NO	PAGE
5140	f31v	731	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
5160	f31v	734	0.050000000	NOT_SIGNIFICANT	YES	NO	NONE
5180	f31v	736	0.409267639	NOT_SIGNIFICANT	YES	NO	NONE
5200	f31v	738	1.112429773	P95	YES	NO	NONE
5220	f31v	739	0.756637298	NOT_SIGNIFICANT	YES	NO	PAGE
5240	f32r	742	0.494035690	NOT_SIGNIFICANT	YES	NO	PAGE
5260	f32r	747	0.563471383	NOT_SIGNIFICANT	YES	NO	NONE
5280	f32r	753	0.577946700	NOT_SIGNIFICANT	YES	NO	PAGE
5300	f32v	759	0.607512356	NOT_SIGNIFICANT	YES	NO	PAGE
5320	f32v	761	0.466368953	NOT_SIGNIFICANT	YES	NO	NONE
5340	f32v	763	0.359196865	NOT_SIGNIFICANT	YES	NO	NONE
5360	f32v	766	0.505828998	NOT_SIGNIFICANT	YES	NO	NONE
5380	f32v	768	1.219409439	P99	YES	NO	PAGE
5400	f33r	771	0.300000000	NOT_SIGNIFICANT	YES	NO	PAGE
5420	f33r	773	1.423559759	P99	YES	NO	NONE
5440	f33r	774	0.553556355	NOT_SIGNIFICANT	YES	NO	NONE
5460	f33r	776	0.466368953	NOT_SIGNIFICANT	YES	NO	PAGE
5480	f33v	778	0.362592765	NOT_SIGNIFICANT	YES	NO	PAGE
5500	f33v	780	0.206155281	NOT_SIGNIFICANT	YES	NO	NONE
5520	f33v	782	0.759226342	NOT_SIGNIFICANT	YES	NO	NONE
5540	f33v	784	1.181520970	P99	YES	NO	NONE
5560	f33v	785	0.895036062	NOT_SIGNIFICANT	YES	NO	PAGE
5580	f34r	788	0.390512484	NOT_SIGNIFICANT	YES	NO	PAGE
5600	f34r	790	0.111803399	NOT_SIGNIFICANT	YES	NO	NONE
5620	f34r	792	0.269258240	NOT_SIGNIFICANT	YES	NO	NONE
5640	f34r	794	0.346410162	NOT_SIGNIFICANT	YES	NO	NONE
5660	f34r	796	0.851469318	NOT_SIGNIFICANT	YES	NO	NONE
5680	f34r	799	0.689202438	NOT_SIGNIFICANT	YES	NO	NONE
5700	f34r	800	0.295803989	NOT_SIGNIFICANT	YES	NO	NONE
5720	f34r	802	1.206233808	P99	YES	NO	PAGE
5740	f34v	804	0.881759604	NOT_SIGNIFICANT	YES	NO	PAGE
5760	f34v	806	0.832165849	NOT_SIGNIFICANT	YES	NO	NONE
5780	f34v	808	0.618465844	NOT_SIGNIFICANT	YES	NO	NONE
5800	f34v	809	0.173205081	NOT_SIGNIFICANT	YES	NO	NONE
5820	f34v	811	0.788366912	NOT_SIGNIFICANT	YES	NO	NONE
5840	f34v	813	0.298284282	NOT_SIGNIFICANT	YES	NO	PAGE
5860	f35r	816	0.273861279	NOT_SIGNIFICANT	YES	NO	PAGE
5880	f35r	819	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
5900	f35r	823	0.193649167	NOT_SIGNIFICANT	YES	NO	NONE
5920	f35r	825	0.650000000	NOT_SIGNIFICANT	YES	NO	NONE
5940	f35r	828	0.141421356	NOT_SIGNIFICANT	YES	NO	PAGE
5960	f35v	833	0.418330013	NOT_SIGNIFICANT	YES	NO	PAGE
5980	f35v	837	0.466368953	NOT_SIGNIFICANT	YES	NO	NONE
6000	f35v	842	0.300000000	NOT_SIGNIFICANT	YES	NO	NONE
6020	f35v	847	0.308220700	NOT_SIGNIFICANT	YES	NO	PAGE
6040	f36r	850	0.784219357	NOT_SIGNIFICANT	YES	NO	PAGE
6060	f36r	853	1.216552506	P99	YES	NO	NONE
6080	f36r	855	1.065363788	P95	YES	NO	PAGE
6100	f36v	859	0.517204022	NOT_SIGNIFICANT	YES	NO	PAGE
6120	f36v	861	1.002496883	P95	YES	NO	NONE
6140	f36v	864	0.589491306	NOT_SIGNIFICANT	YES	NO	NONE
6160	f36v	868	0.380788655	NOT_SIGNIFICANT	YES	NO	PAGE
6180	f37r	873	0.377491722	NOT_SIGNIFICANT	YES	NO	PAGE
6200	f37r	875	0.772316977	NOT_SIGNIFICANT	YES	NO	NONE
6220	f37r	879	0.382846265	NOT_SIGNIFICANT	YES	NO	NONE
6240	f37r	882	0.611573698	NOT_SIGNIFICANT	YES	NO	PAGE
6260	f37v	885	0.335410197	NOT_SIGNIFICANT	YES	NO	PAGE
6280	f37v	889	0.738241153	NOT_SIGNIFICANT	YES	NO	NONE
6300	f37v	894	0.806225775	NOT_SIGNIFICANT	YES	NO	NONE
6320	f37v	900	0.363963042	NOT_SIGNIFICANT	YES	NO	NONE
6340	f37v	905	0.276444508	NOT_SIGNIFICANT	YES	NO	PAGE
6360	f38r	909	1.286088017	P99	YES	NO	PAGE
6380	f38r	911	0.580947502	NOT_SIGNIFICANT	YES	NO	PAGE
6400	f38v	914	0.348530505	NOT_SIGNIFICANT	YES	NO	PAGE
6420	f38v	916	0.631682189	NOT_SIGNIFICANT	YES	NO	NONE
6440	f38v	918	0.701783442	NOT_SIGNIFICANT	YES	NO	PAGE
6460	f39r	921	0.864580823	NOT_SIGNIFICANT	YES	NO	PAGE
6480	f39r	923	0.578791845	NOT_SIGNIFICANT	YES	NO	NONE
6500	f39r	924	0.441588043	NOT_SIGNIFICANT	YES	NO	NONE
6520	f39r	927	0.957862203	P95	YES	NO	NONE
6540	f39r	929	0.229128785	NOT_SIGNIFICANT	YES	NO	NONE
6560	f39r	931	0.217944947	NOT_SIGNIFICANT	YES	NO	NONE
6580	f39r	933	0.302203388	NOT_SIGNIFICANT	YES	NO	NONE
6600	f39r	935	0.162556568	NOT_SIGNIFICANT	YES	NO	PAGE
6620	f39v	937	0.165831240	NOT_SIGNIFICANT	YES	NO	PAGE
6640	f39v	939	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
6660	f39v	940	0.913783344	NOT_SIGNIFICANT	YES	NO	NONE
6680	f39v	942	1.080509139	P95	YES	NO	NONE
6700	f39v	944	1.250999600	P99	YES	NO	NONE
6720	f39v	946	0.813941030	NOT_SIGNIFICANT	YES	NO	NONE
6740	f39v	948	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
6760	f39v	950	0.705336799	NOT_SIGNIFICANT	YES	NO	PAGE
6780	f40r	952	0.668954408	NOT_SIGNIFICANT	YES	NO	PAGE
6800	f40r	954	0.794534487	NOT_SIGNIFICANT	YES	NO	NONE
6820	f40r	956	0.786628916	NOT_SIGNIFICANT	YES	NO	NONE
6840	f40r	958	0.333949679	NOT_SIGNIFICANT	YES	NO	NONE
6860	f40r	960	0.475892333	NOT_SIGNIFICANT	YES	NO	PAGE
6880	f40v	965	0.353553391	NOT_SIGNIFICANT	YES	NO	PAGE
6900	f40v	970	0.514781507	NOT_SIGNIFICANT	YES	NO	NONE
6920	f40v	974	1.202673953	P99	YES	NO	NONE
6940	f40v	976	0.603261666	NOT_SIGNIFICANT	YES	NO	NONE
6960	f40v	979	1.036822068	P95	YES	NO	PAGE
6980	f41r	982	0.871331101	NOT_SIGNIFICANT	YES	NO	PAGE
7000	f41r	984	0.560507817	NOT_SIGNIFICANT	YES	NO	NONE
7020	f41r	986	0.529150262	NOT_SIGNIFICANT	YES	NO	NONE
7040	f41r	988	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
7060	f41r	990	0.766485486	NOT_SIGNIFICANT	YES	NO	PAGE
7080	f41v	994	0.924662100	NOT_SIGNIFICANT	YES	NO	PAGE
7100	f41v	995	0.533853913	NOT_SIGNIFICANT	YES	NO	NONE
7120	f41v	998	0.863133825	NOT_SIGNIFICANT	YES	NO	PAGE
7140	f42r	1000	0.580947502	NOT_SIGNIFICANT	YES	NO	PAGE
7160	f42r	1004	0.826135582	NOT_SIGNIFICANT	YES	NO	NONE
7180	f42r	1008	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
7200	f42r	1010	0.484767986	NOT_SIGNIFICANT	YES	NO	NONE
7220	f42r	1013	0.776208735	NOT_SIGNIFICANT	YES	NO	NONE
7240	f42r	1016	0.810863737	NOT_SIGNIFICANT	YES	NO	NONE
7260	f42r	1019	0.520662608	NOT_SIGNIFICANT	YES	NO	NONE
