mechanism	corpus	family	progress	overfit_class
M10_STATEFUL_FORM_K8	Longfellow	CHARACTER_ENTROPY	0.324868573	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	LOCAL_REGIME_TOPOLOGY	0.999230691	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	LOCAL_TRANSITION	0.728705881	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	POSITIONAL_STRUCTURE	0.86	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	REPETITION_EDIT_GEOMETRY	-0.179666288	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	TOKEN_FORMATION	0.699996344	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Longfellow	TOKEN_ORDER	0.212737804	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	CHARACTER_ENTROPY	-0.435767542	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	LOCAL_REGIME_TOPOLOGY	0.999571376	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	LOCAL_TRANSITION	0.90820763	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	POSITIONAL_STRUCTURE	0.85	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	REPETITION_EDIT_GEOMETRY	0.0592745888	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	TOKEN_FORMATION	-0.0762542603	INCONCLUSIVE
M11_MIXED_FORM_K2	Astafiev	TOKEN_ORDER	-0.291902268	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	CHARACTER_ENTROPY	0.45155959	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	LOCAL_REGIME_TOPOLOGY	0.999247971	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	LOCAL_TRANSITION	0.941267645	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	POSITIONAL_STRUCTURE	0.875	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	REPETITION_EDIT_GEOMETRY	0.06257707	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	TOKEN_FORMATION	0.649306329	INCONCLUSIVE
M11_MIXED_FORM_K2	Doyle	TOKEN_ORDER	2.35480426	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	CHARACTER_ENTROPY	0.344448139	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	LOCAL_REGIME_TOPOLOGY	0.999230691	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	LOCAL_TRANSITION	0.946469748	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	POSITIONAL_STRUCTURE	0.85	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	REPETITION_EDIT_GEOMETRY	-0.0492449381	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	TOKEN_FORMATION	0.626978017	INCONCLUSIVE
M11_MIXED_FORM_K2	Longfellow	TOKEN_ORDER	2.5740697	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	CHARACTER_ENTROPY	-1.02429904	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	LOCAL_REGIME_TOPOLOGY	0.999571376	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	LOCAL_TRANSITION	0.899828307	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	POSITIONAL_STRUCTURE	-0.185	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	REPETITION_EDIT_GEOMETRY	0.0567797196	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	TOKEN_FORMATION	-15.3326817	INCONCLUSIVE
M11_MIXED_FORM_K5	Astafiev	TOKEN_ORDER	-0.0497392155	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	CHARACTER_ENTROPY	0.334808965	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	LOCAL_REGIME_TOPOLOGY	0.999247971	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	LOCAL_TRANSITION	0.934601334	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	POSITIONAL_STRUCTURE	0.0208333333	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	REPETITION_EDIT_GEOMETRY	0.0585469438	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	TOKEN_FORMATION	-4.83210299	INCONCLUSIVE
M11_MIXED_FORM_K5	Doyle	TOKEN_ORDER	2.16704796	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	CHARACTER_ENTROPY	0.0778557785	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	LOCAL_REGIME_TOPOLOGY	0.999230691	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	LOCAL_TRANSITION	0.941595384	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	POSITIONAL_STRUCTURE	-0.175	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	REPETITION_EDIT_GEOMETRY	-0.0525812982	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	TOKEN_FORMATION	-4.99757043	INCONCLUSIVE
M11_MIXED_FORM_K5	Longfellow	TOKEN_ORDER	2.33267879	INCONCLUSIVE
