mechanism	corpus	family	progress
M10_STATEFUL_FORM_K8	Doyle	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K8	Doyle	LOCAL_TRANSITION	-0.236751993
M10_STATEFUL_FORM_K8	Doyle	POSITIONAL_STRUCTURE	0.763672738
M10_STATEFUL_FORM_K8	Doyle	REPETITION_EDIT_GEOMETRY	0.574094381
M10_STATEFUL_FORM_K8	Doyle	TOKEN_FORMATION	0.450121825
M10_STATEFUL_FORM_K8	Doyle	TOKEN_ORDER	-0.51159384
M10_STATEFUL_FORM_K8	Longfellow	CHARACTER_ENTROPY	-0.485843518
M10_STATEFUL_FORM_K8	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.5
M10_STATEFUL_FORM_K8	Longfellow	LOCAL_TRANSITION	-0.125854857
M10_STATEFUL_FORM_K8	Longfellow	POSITIONAL_STRUCTURE	0.707718599
M10_STATEFUL_FORM_K8	Longfellow	REPETITION_EDIT_GEOMETRY	0.543909653
M10_STATEFUL_FORM_K8	Longfellow	TOKEN_FORMATION	0.474988933
M10_STATEFUL_FORM_K8	Longfellow	TOKEN_ORDER	-2.60316675
M11_MIXED_FORM_K2	Astafiev	CHARACTER_ENTROPY	0.287271609
M11_MIXED_FORM_K2	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.416666667
M11_MIXED_FORM_K2	Astafiev	LOCAL_TRANSITION	-0.231076529
M11_MIXED_FORM_K2	Astafiev	POSITIONAL_STRUCTURE	0.694748437
M11_MIXED_FORM_K2	Astafiev	REPETITION_EDIT_GEOMETRY	0.462335184
M11_MIXED_FORM_K2	Astafiev	TOKEN_FORMATION	-0.249052217
M11_MIXED_FORM_K2	Astafiev	TOKEN_ORDER	0.278814959
M11_MIXED_FORM_K2	Doyle	CHARACTER_ENTROPY	-0.77390445
M11_MIXED_FORM_K2	Doyle	LOCAL_REGIME_TOPOLOGY	-0.416666667
M11_MIXED_FORM_K2	Doyle	LOCAL_TRANSITION	-0.0697620718
M11_MIXED_FORM_K2	Doyle	POSITIONAL_STRUCTURE	0.884673435
M11_MIXED_FORM_K2	Doyle	REPETITION_EDIT_GEOMETRY	0.293161706
M11_MIXED_FORM_K2	Doyle	TOKEN_FORMATION	0.00698098963
M11_MIXED_FORM_K2	Doyle	TOKEN_ORDER	-0.529978576
M11_MIXED_FORM_K2	Longfellow	CHARACTER_ENTROPY	-0.554925556
M11_MIXED_FORM_K2	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.291666667
M11_MIXED_FORM_K2	Longfellow	LOCAL_TRANSITION	0.0189001604
M11_MIXED_FORM_K2	Longfellow	POSITIONAL_STRUCTURE	0.853310576
M11_MIXED_FORM_K2	Longfellow	REPETITION_EDIT_GEOMETRY	0.322043138
M11_MIXED_FORM_K2	Longfellow	TOKEN_FORMATION	0.059486796
M11_MIXED_FORM_K2	Longfellow	TOKEN_ORDER	-2.62988899
M11_MIXED_FORM_K5	Astafiev	CHARACTER_ENTROPY	-0.233450665
M11_MIXED_FORM_K5	Astafiev	LOCAL_REGIME_TOPOLOGY	-0.458333333
M11_MIXED_FORM_K5	Astafiev	LOCAL_TRANSITION	-0.237805284
M11_MIXED_FORM_K5	Astafiev	POSITIONAL_STRUCTURE	-1.41525965
M11_MIXED_FORM_K5	Astafiev	REPETITION_EDIT_GEOMETRY	0.318625373
M11_MIXED_FORM_K5	Astafiev	TOKEN_FORMATION	-3.00215975
M11_MIXED_FORM_K5	Astafiev	TOKEN_ORDER	0.44445642
M11_MIXED_FORM_K5	Doyle	CHARACTER_ENTROPY	-1.7128995
M11_MIXED_FORM_K5	Doyle	LOCAL_REGIME_TOPOLOGY	-0.458333333
M11_MIXED_FORM_K5	Doyle	LOCAL_TRANSITION	-0.0747860685
M11_MIXED_FORM_K5	Doyle	POSITIONAL_STRUCTURE	-0.00319059458
M11_MIXED_FORM_K5	Doyle	REPETITION_EDIT_GEOMETRY	0.293245467
M11_MIXED_FORM_K5	Doyle	TOKEN_FORMATION	-2.12035723
M11_MIXED_FORM_K5	Doyle	TOKEN_ORDER	-0.187377382
M11_MIXED_FORM_K5	Longfellow	CHARACTER_ENTROPY	-1.42192208
M11_MIXED_FORM_K5	Longfellow	LOCAL_REGIME_TOPOLOGY	-0.416666667
M11_MIXED_FORM_K5	Longfellow	LOCAL_TRANSITION	0.0142452931
M11_MIXED_FORM_K5	Longfellow	POSITIONAL_STRUCTURE	-0.225231645
M11_MIXED_FORM_K5	Longfellow	REPETITION_EDIT_GEOMETRY	0.340145767
M11_MIXED_FORM_K5	Longfellow	TOKEN_FORMATION	-1.92941749
M11_MIXED_FORM_K5	Longfellow	TOKEN_ORDER	-1.76381661
