mechanism	corpus	error_rate	token_order_bits	weighted_entropy	h2	giant_component_fraction
M10_STATEFUL_FORM_K2	Astafiev	0.005	1.00610973	0.257795825	2.3024844	0
M10_STATEFUL_FORM_K2	Astafiev	0.01	0.93603564	0.27687275	2.33808264	0
M10_STATEFUL_FORM_K2	Astafiev	0.02	0.806949497	0.31179583	2.4066177	0
M10_STATEFUL_FORM_K2	Astafiev	0.05	0.547264963	0.394163039	2.58031935	0
M10_STATEFUL_FORM_K4	Astafiev	0	1.13107176	0.377459795	2.81935989	0
M10_STATEFUL_FORM_K4	Astafiev	0.001	1.11240286	0.382625528	2.82740255	0
M10_STATEFUL_FORM_K4	Astafiev	0.005	1.03676102	0.400223127	2.86153225	0
M10_STATEFUL_FORM_K4	Astafiev	0.01	0.958665703	0.417557833	2.89476973	0
M10_STATEFUL_FORM_K4	Astafiev	0.02	0.817681826	0.448462235	2.95614845	0
M10_STATEFUL_FORM_K4	Astafiev	0.05	0.523203678	0.519454528	3.10684824	0
M10_STATEFUL_FORM_K4	Doyle	0	1.2083212	0.373074213	2.83352696	0
M10_STATEFUL_FORM_K4	Doyle	0.001	1.18627203	0.378383728	2.84227907	0
M10_STATEFUL_FORM_K4	Doyle	0.005	1.11107354	0.395361631	2.87426831	0
M10_STATEFUL_FORM_K4	Doyle	0.01	1.021887	0.413275771	2.90741664	0
M10_STATEFUL_FORM_K4	Doyle	0.02	0.874805923	0.44785723	2.96633133	0
M10_STATEFUL_FORM_K4	Doyle	0.05	0.581637831	0.516128658	3.11027295	0
M10_STATEFUL_FORM_K4	Longfellow	0	1.20468277	0.374966445	2.82580748	0
M10_STATEFUL_FORM_K4	Longfellow	0.001	1.18601504	0.379950839	2.83348712	0
M10_STATEFUL_FORM_K4	Longfellow	0.005	1.10238431	0.397777623	2.86601162	0
M10_STATEFUL_FORM_K4	Longfellow	0.01	1.01589913	0.416316917	2.89859764	0
M10_STATEFUL_FORM_K4	Longfellow	0.02	0.871819752	0.446328742	2.96166978	0
M10_STATEFUL_FORM_K4	Longfellow	0.05	0.570851815	0.520626145	3.10727977	0
M10_STATEFUL_FORM_K8	Doyle	0	1.0694681	0.624552285	3.23737538	0
M10_STATEFUL_FORM_K8	Doyle	0.001	1.05339565	0.627639522	3.24522215	0
M10_STATEFUL_FORM_K8	Doyle	0.005	0.989832107	0.638256986	3.27491706	0
M10_STATEFUL_FORM_K8	Doyle	0.01	0.906745277	0.649481312	3.30380641	0
M10_STATEFUL_FORM_K8	Doyle	0.02	0.785178018	0.670788157	3.35459885	0
M10_STATEFUL_FORM_K8	Doyle	0.05	0.49405141	0.7146994	3.48071055	0
M10_STATEFUL_FORM_K8	Longfellow	0	1.07780479	0.624480828	3.23346895	0
M10_STATEFUL_FORM_K8	Longfellow	0.001	1.06121579	0.628093643	3.24170141	0
M10_STATEFUL_FORM_K8	Longfellow	0.005	0.988426521	0.638730193	3.26938613	0
M10_STATEFUL_FORM_K8	Longfellow	0.01	0.912228171	0.650802189	3.29902458	0
M10_STATEFUL_FORM_K8	Longfellow	0.02	0.775483624	0.669451974	3.35347577	0
M10_STATEFUL_FORM_K8	Longfellow	0.05	0.497299922	0.717184308	3.47892122	0
M10_STATEFUL_FORM_K8	Astafiev	0	1.00675499	0.633466324	3.23354328	0
M10_STATEFUL_FORM_K8	Astafiev	0.001	0.993707083	0.636869147	3.24149086	0
M10_STATEFUL_FORM_K8	Astafiev	0.005	0.929350923	0.64715973	3.27250313	0
M10_STATEFUL_FORM_K8	Astafiev	0.01	0.854335659	0.658027048	3.30173231	0
M10_STATEFUL_FORM_K8	Astafiev	0.02	0.726991259	0.67702137	3.35793514	0
M10_STATEFUL_FORM_K8	Astafiev	0.05	0.45938429	0.72383191	3.48696041	0
M11_MIXED_FORM_K2	Doyle	0	1.08525884	0.661081107	3.15160152	0
M11_MIXED_FORM_K2	Doyle	0.001	1.0722371	0.664705042	3.16114405	0
M11_MIXED_FORM_K2	Doyle	0.005	1.00556761	0.675334006	3.19188333	0
M11_MIXED_FORM_K2	Doyle	0.01	0.920849787	0.685386837	3.22148892	0
M11_MIXED_FORM_K2	Doyle	0.02	0.78918991	0.707188347	3.28093869	0
M11_MIXED_FORM_K2	Doyle	0.05	0.502329555	0.746549087	3.41177432	0
M11_MIXED_FORM_K2	Longfellow	0	1.08804223	0.663276405	3.1451055	0
M11_MIXED_FORM_K2	Longfellow	0.001	1.06910668	0.666302495	3.15313659	0
M11_MIXED_FORM_K2	Longfellow	0.005	1.00440528	0.677469667	3.1844909	0
M11_MIXED_FORM_K2	Longfellow	0.01	0.924903315	0.688599158	3.21490258	0
M11_MIXED_FORM_K2	Longfellow	0.02	0.789058829	0.706453792	3.27418591	0
M11_MIXED_FORM_K2	Longfellow	0.05	0.506318307	0.74871317	3.40947994	0
M11_MIXED_FORM_K2	Astafiev	0	1.01900769	0.669739969	3.15385608	0
M11_MIXED_FORM_K2	Astafiev	0.001	1.00899035	0.672313611	3.16203186	0
M11_MIXED_FORM_K2	Astafiev	0.005	0.940076665	0.683574907	3.19508756	0
M11_MIXED_FORM_K2	Astafiev	0.01	0.871193849	0.694149005	3.22668728	0
M11_MIXED_FORM_K2	Astafiev	0.02	0.738655048	0.712269539	3.28416595	0
M11_MIXED_FORM_K2	Astafiev	0.05	0.46812153	0.754900366	3.42173786	0
M11_MIXED_FORM_K5	Astafiev	0	0.670162161	0.893239409	3.68929106	0
M11_MIXED_FORM_K5	Astafiev	0.001	0.658846713	0.893964027	3.69603715	0
M11_MIXED_FORM_K5	Astafiev	0.005	0.616149756	0.897040096	3.72106105	0
M11_MIXED_FORM_K5	Astafiev	0.01	0.572030089	0.901008264	3.74665999	0
M11_MIXED_FORM_K5	Astafiev	0.02	0.486543996	0.907422016	3.79034535	0
M11_MIXED_FORM_K5	Astafiev	0.05	0.295838879	0.923448415	3.89807526	0
M11_MIXED_FORM_K5	Doyle	0	0.727541752	0.892108892	3.6482035	0
M11_MIXED_FORM_K5	Doyle	0.001	0.720888084	0.892768877	3.6549698	0
M11_MIXED_FORM_K5	Doyle	0.005	0.680417586	0.895812149	3.67909402	0
M11_MIXED_FORM_K5	Doyle	0.01	0.628084756	0.899292663	3.70665892	0
M11_MIXED_FORM_K5	Doyle	0.02	0.544958309	0.906931592	3.75044012	0
M11_MIXED_FORM_K5	Doyle	0.05	0.330875915	0.92138547	3.85989895	0
M11_MIXED_FORM_K5	Longfellow	0	0.694530003	0.892197565	3.63977498	0
M11_MIXED_FORM_K5	Longfellow	0.001	0.681799662	0.893032464	3.64646394	0
M11_MIXED_FORM_K5	Longfellow	0.005	0.647957231	0.896461782	3.67184899	0
M11_MIXED_FORM_K5	Longfellow	0.01	0.60381787	0.900140706	3.69649493	0
M11_MIXED_FORM_K5	Longfellow	0.02	0.512393053	0.905470318	3.74391807	0
M11_MIXED_FORM_K5	Longfellow	0.05	0.331100134	0.922004018	3.85215845	0
