mechanism	corpus	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M8_BOUNDARY_STATE	Longfellow	5	0.716770833	1.26400574e-05	0	DISCRETE_REGIMES
M9_GROUP_FORM_FIXED	Astafiev	5	0.745	0.0445283096	0	DISCRETE_REGIMES
M9_GROUP_FORM_FIXED	Doyle	5	0.758645833	0.0439898569	0	DISCRETE_REGIMES
M9_GROUP_FORM_FIXED	Longfellow	5	0.737395833	0.0485152252	0	DISCRETE_REGIMES
M9_GROUP_FORM_RANDOM	Astafiev	5	0.757916667	0.0470509992	0	DISCRETE_REGIMES
M9_GROUP_FORM_RANDOM	Doyle	5	0.748541667	0.0491157498	0	DISCRETE_REGIMES
M9_GROUP_FORM_RANDOM	Longfellow	5	0.748333333	0.0471141646	0	DISCRETE_REGIMES
M9_GROUP_FORM_STATE	Astafiev	5	0.749791667	0.0449249556	0	DISCRETE_REGIMES
M9_GROUP_FORM_STATE	Doyle	5	0.751354167	0.0442852473	0	DISCRETE_REGIMES
M9_GROUP_FORM_STATE	Longfellow	5	0.7634375	0.0438310703	0	DISCRETE_REGIMES
VOYNICH_TARGET	Voynich	20			-0.000603036	MIXED_DRIFT_AND_STATES
