mechanism	on_pareto_front	mean_family_scores
M4_STATE_K8_B	false	CHARACTER_ENTROPY=-1.169;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1055;POSITIONAL_STRUCTURE=-1.008;REPETITION_EDIT_GEOMETRY=-0.1338;TOKEN_FORMATION=-0.7057;TOKEN_ORDER=0.005014
M4_STATE_K8_C	false	CHARACTER_ENTROPY=-1.162;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=-0.1019;POSITIONAL_STRUCTURE=-1.005;REPETITION_EDIT_GEOMETRY=-0.1298;TOKEN_FORMATION=-0.7042;TOKEN_ORDER=-0.02336
M5_DRIFT_N20	true	CHARACTER_ENTROPY=-1.491;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02487;POSITIONAL_STRUCTURE=-1.161;REPETITION_EDIT_GEOMETRY=-0.03742;TOKEN_FORMATION=-0.8227;TOKEN_ORDER=1.152
M5_DRIFT_N5	true	CHARACTER_ENTROPY=-1.492;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.006628;POSITIONAL_STRUCTURE=-1.162;REPETITION_EDIT_GEOMETRY=-0.04034;TOKEN_FORMATION=-0.8219;TOKEN_ORDER=1.207
M5_DRIFT_N80	true	CHARACTER_ENTROPY=-1.488;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02888;POSITIONAL_STRUCTURE=-1.16;REPETITION_EDIT_GEOMETRY=-0.04644;TOKEN_FORMATION=-0.8268;TOKEN_ORDER=1.073
M6_MACRO_K2	true	CHARACTER_ENTROPY=-0.389;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.03474;POSITIONAL_STRUCTURE=-0.5847;REPETITION_EDIT_GEOMETRY=-0.0466;TOKEN_FORMATION=-0.5549;TOKEN_ORDER=0.03913
M6_MACRO_K5	true	CHARACTER_ENTROPY=-0.9857;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.03286;POSITIONAL_STRUCTURE=-0.9091;REPETITION_EDIT_GEOMETRY=-0.1188;TOKEN_FORMATION=-1.029;TOKEN_ORDER=0.1238
M7_MIXED_K2_N20	false	CHARACTER_ENTROPY=-1.493;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02484;POSITIONAL_STRUCTURE=-1.162;REPETITION_EDIT_GEOMETRY=-0.03804;TOKEN_FORMATION=-0.824;TOKEN_ORDER=1.158
M7_MIXED_K2_N5	true	CHARACTER_ENTROPY=-1.493;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.005327;POSITIONAL_STRUCTURE=-1.162;REPETITION_EDIT_GEOMETRY=-0.0315;TOKEN_FORMATION=-0.823;TOKEN_ORDER=1.216
M7_MIXED_K2_N80	true	CHARACTER_ENTROPY=-1.488;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02867;POSITIONAL_STRUCTURE=-1.16;REPETITION_EDIT_GEOMETRY=-0.04345;TOKEN_FORMATION=-0.8264;TOKEN_ORDER=1.074
M7_MIXED_K5_N20	true	CHARACTER_ENTROPY=-1.493;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02558;POSITIONAL_STRUCTURE=-1.162;REPETITION_EDIT_GEOMETRY=-0.03657;TOKEN_FORMATION=-0.8237;TOKEN_ORDER=1.16
M7_MIXED_K5_N5	true	CHARACTER_ENTROPY=-1.494;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.004416;POSITIONAL_STRUCTURE=-1.163;REPETITION_EDIT_GEOMETRY=-0.02836;TOKEN_FORMATION=-0.8231;TOKEN_ORDER=1.221
M7_MIXED_K5_N80	true	CHARACTER_ENTROPY=-1.488;LOCAL_REGIME_TOPOLOGY=0;LOCAL_TRANSITION=0.02897;POSITIONAL_STRUCTURE=-1.16;REPETITION_EDIT_GEOMETRY=-0.04887;TOKEN_FORMATION=-0.8266;TOKEN_ORDER=1.073
M8_BOUNDARY_FIXED	true	CHARACTER_ENTROPY=0.4339;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=-0.1932;POSITIONAL_STRUCTURE=-1.327;REPETITION_EDIT_GEOMETRY=1.112;TOKEN_FORMATION=-0.8221;TOKEN_ORDER=0.3494
M8_BOUNDARY_RANDOM	true	CHARACTER_ENTROPY=-1.222;LOCAL_REGIME_TOPOLOGY=-0.25;LOCAL_TRANSITION=0.2799;POSITIONAL_STRUCTURE=-1.714;REPETITION_EDIT_GEOMETRY=0.03691;TOKEN_FORMATION=-0.8228;TOKEN_ORDER=1.123
M8_BOUNDARY_STATE	false	CHARACTER_ENTROPY=-1.223;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.01866;POSITIONAL_STRUCTURE=-2.072;REPETITION_EDIT_GEOMETRY=0.1328;TOKEN_FORMATION=-0.8228;TOKEN_ORDER=-0.5477
M9_GROUP_FORM_FIXED	false	CHARACTER_ENTROPY=3.017;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.6322;POSITIONAL_STRUCTURE=3.145;REPETITION_EDIT_GEOMETRY=0.3603;TOKEN_FORMATION=2.203;TOKEN_ORDER=0.4996
M9_GROUP_FORM_RANDOM	true	CHARACTER_ENTROPY=3.014;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.7453;POSITIONAL_STRUCTURE=3.145;REPETITION_EDIT_GEOMETRY=0.4431;TOKEN_FORMATION=2.202;TOKEN_ORDER=1.036
M9_GROUP_FORM_STATE	false	CHARACTER_ENTROPY=3.021;LOCAL_REGIME_TOPOLOGY=-0.5;LOCAL_TRANSITION=0.6426;POSITIONAL_STRUCTURE=3.144;REPETITION_EDIT_GEOMETRY=0.4457;TOKEN_FORMATION=2.203;TOKEN_ORDER=-0.4072
