mechanism	corpus	evaluation_set	family	progress	overall_status
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	1.61983172	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	LOCAL_TRANSITION	0.201572396	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	2.03774984	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.141813951	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	TOKEN_FORMATION	1.75019342	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.469109951	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	1.54556804	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	0.269846701	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	2.26473974	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.101711703	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	TOKEN_FORMATION	1.71183541	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K2	Longfellow	DEVELOPMENT	TOKEN_ORDER	-2.59069428	SINGLE_FAMILY_EFFECT
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	0.799165097	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.231144842	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	2.38119866	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.504285937	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	TOKEN_FORMATION	1.36405893	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.22277992	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	0.453357882	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.0696461334	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	1.61095644	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.405571328	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	TOKEN_FORMATION	1.31658458	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.621922805	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	0.527199779	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	0.0189758493	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	1.73896144	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.379314393	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	TOKEN_FORMATION	1.29285041	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K4	Longfellow	DEVELOPMENT	TOKEN_ORDER	-2.88541046	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	0.29130186	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.396802	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	0.381809224	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.550269389	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	TOKEN_FORMATION	0.277050215	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.289804767	BROAD_COMPATIBILITY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-0.683371351	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.236751993	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	0.763672738	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.574094381	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	TOKEN_FORMATION	0.450121825	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.51159384	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-0.485843518	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.5	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	-0.125854857	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	0.707718599	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.543909653	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	TOKEN_FORMATION	0.474988933	PARTIAL_MULTI_FAMILY
M10_STATEFUL_FORM_K8	Longfellow	DEVELOPMENT	TOKEN_ORDER	-2.60316675	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	0.287271609	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.416666667	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.231076529	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	0.694748437	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.462335184	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	TOKEN_FORMATION	-0.249052217	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.278814959	BROAD_COMPATIBILITY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-0.77390445	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.416666667	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.0697620718	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	0.884673435	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.293161706	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	TOKEN_FORMATION	0.00698098963	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.529978576	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-0.554925556	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.291666667	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	0.0189001604	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	0.853310576	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.322043138	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	TOKEN_FORMATION	0.059486796	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K2	Longfellow	DEVELOPMENT	TOKEN_ORDER	-2.62988899	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-0.233450665	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.458333333	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.237805284	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	-1.41525965	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.318625373	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	TOKEN_FORMATION	-3.00215975	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.44445642	PARTIAL_MULTI_FAMILY
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-1.7128995	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.458333333	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.0747860685	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	-0.00319059458	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.293245467	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	TOKEN_FORMATION	-2.12035723	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.187377382	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-1.42192208	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	-0.416666667	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	0.0142452931	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	-0.225231645	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.340145767	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	TOKEN_FORMATION	-1.92941749	SINGLE_FAMILY_EFFECT
M11_MIXED_FORM_K5	Longfellow	DEVELOPMENT	TOKEN_ORDER	-1.76381661	SINGLE_FAMILY_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-4.87021901e-16	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	0	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	-1.80129424e-15	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.00142927114	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	TOKEN_FORMATION	1.69653837e-16	NO_EFFECT
M1_MONOALPHABETIC	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.000714253341	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-4.92116405e-15	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-7.38983057e-17	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	-7.64871216e-16	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.0219033675	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	TOKEN_FORMATION	0	NO_EFFECT
M1_MONOALPHABETIC	Doyle	DEVELOPMENT	TOKEN_ORDER	-0.00564594923	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	2.72929363e-15	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	3.36113099e-17	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	-4.65782973e-16	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	0.000174904624	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	TOKEN_FORMATION	-1.27653731e-16	NO_EFFECT
M1_MONOALPHABETIC	Longfellow	DEVELOPMENT	TOKEN_ORDER	-0.0030154285	NO_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-1.16583	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.0625075383	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00214149609	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.0543803639	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	TOKEN_FORMATION	-0.0023031579	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.855567322	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-2.8567878	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.127965734	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	0.000807146451	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.256474613	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	TOKEN_FORMATION	-0.000975894323	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Doyle	DEVELOPMENT	TOKEN_ORDER	0.691626144	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-2.59086645	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	-0.0929453991	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	0.000700111428	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.333149582	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	TOKEN_FORMATION	-0.000880032121	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H2	Longfellow	DEVELOPMENT	TOKEN_ORDER	0.25288373	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-2.3233762	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.0849187776	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00600041923	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.0409043788	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	TOKEN_FORMATION	-0.00577201741	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Astafiev	DEVELOPMENT	TOKEN_ORDER	0.98965679	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-5.70550194	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.18430852	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00235924686	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.245166947	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	TOKEN_FORMATION	-0.00268205502	NO_EFFECT
M2_HOMOPHONY_H4	Doyle	DEVELOPMENT	TOKEN_ORDER	1.17552311	NO_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-5.17209217	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	-0.117548593	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00205109254	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.326372027	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	TOKEN_FORMATION	-0.00302667128	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H4	Longfellow	DEVELOPMENT	TOKEN_ORDER	1.08655063	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	CHARACTER_ENTROPY	-3.45297327	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	LOCAL_TRANSITION	-0.0955907963	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	POSITIONAL_STRUCTURE	0.0135390784	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.0199757657	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	TOKEN_FORMATION	-0.0116106959	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Astafiev	DEVELOPMENT	TOKEN_ORDER	1.0283515	SINGLE_FAMILY_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	CHARACTER_ENTROPY	-8.5267857	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	LOCAL_TRANSITION	-0.209279642	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00508352744	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	REPETITION_EDIT_GEOMETRY	-0.156715872	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	TOKEN_FORMATION	-0.00668308268	NO_EFFECT
M2_HOMOPHONY_H8	Doyle	DEVELOPMENT	TOKEN_ORDER	1.31851998	NO_EFFECT
M2_HOMOPHONY_H8	Longfellow	DEVELOPMENT	CHARACTER_ENTROPY	-7.72047651	NO_EFFECT
M2_HOMOPHONY_H8	Longfellow	DEVELOPMENT	LOCAL_REGIME_TOPOLOGY	0	NO_EFFECT
M2_HOMOPHONY_H8	Longfellow	DEVELOPMENT	LOCAL_TRANSITION	-0.127653476	NO_EFFECT
M2_HOMOPHONY_H8	Longfellow	DEVELOPMENT	POSITIONAL_STRUCTURE	0.00481915585	NO_EFFECT
