token_position	token	folio	locus_id	locus_type	line_id	paragraph_id	paragraph_start	currier	hand	quire	token_index_in_locus	token_index_in_line	token_index_in_folio
85	shodain	f1r	f1r.12	P	f1r.12	3	false	1	1	A	5	5	85
86	sckhey	f1r	f1r.12	P	f1r.12	3	false	1	1	A	6	6	86
87	daiin	f1r	f1r.12	P	f1r.12	3	false	1	1	A	7	7	87
88	shoy	f1r	f1r.13	P	f1r.13	3	false	1	1	A	0	0	88
89	ckhey	f1r	f1r.13	P	f1r.13	3	false	1	1	A	1	1	89
90	kodaiin	f1r	f1r.13	P	f1r.13	3	false	1	1	A	2	2	90
91	cphy	f1r	f1r.13	P	f1r.13	3	false	1	1	A	3	3	91
92	cphodaiils	f1r	f1r.13	P	f1r.13	3	false	1	1	A	4	4	92
93	cthey	f1r	f1r.13	P	f1r.13	3	false	1	1	A	5	5	93
94	sho	f1r	f1r.13	P	f1r.13	3	false	1	1	A	6	6	94
95	oldain	f1r	f1r.13	P	f1r.13	3	false	1	1	A	7	7	95
96	d	f1r	f1r.13	P	f1r.13	3	false	1	1	A	8	8	96
97	dain	f1r	f1r.14	P	f1r.14	3	false	1	1	A	0	0	97
98	oiin	f1r	f1r.14	P	f1r.14	3	false	1	1	A	1	1	98
99	chol	f1r	f1r.14	P	f1r.14	3	false	1	1	A	2	2	99
100	odaiin	f1r	f1r.14	P	f1r.14	3	false	1	1	A	3	3	100
101	chodain	f1r	f1r.14	P	f1r.14	3	false	1	1	A	4	4	101
102	chdy	f1r	f1r.14	P	f1r.14	3	false	1	1	A	5	5	102
103	okain	f1r	f1r.14	P	f1r.14	3	false	1	1	A	6	6	103
104	d?n	f1r	f1r.14	P	f1r.14	3	false	1	1	A	7	7	104
105	cthy	f1r	f1r.14	P	f1r.14	3	false	1	1	A	8	8	105
106	kod	f1r	f1r.14	P	f1r.14	3	false	1	1	A	9	9	106
107	daiin	f1r	f1r.15	P	f1r.15	3	false	1	1	A	0	0	107
108	shckhey	f1r	f1r.15	P	f1r.15	3	false	1	1	A	1	1	108
109	ckeo	f1r	f1r.15	P	f1r.15	3	false	1	1	A	2	2	109
110	r	f1r	f1r.15	P	f1r.15	3	false	1	1	A	3	3	110
111	char	f1r	f1r.15	P	f1r.15	3	false	1	1	A	4	4	111
112	shey	f1r	f1r.15	P	f1r.15	3	false	1	1	A	5	5	112
113	kol	f1r	f1r.15	P	f1r.15	3	false	1	1	A	6	6	113
114	chol	f1r	f1r.15	P	f1r.15	3	false	1	1	A	7	7	114
115	chol	f1r	f1r.15	P	f1r.15	3	false	1	1	A	8	8	115
116	kor	f1r	f1r.15	P	f1r.15	3	false	1	1	A	9	9	116
117	chal	f1r	f1r.15	P	f1r.15	3	false	1	1	A	10	10	117
118	sho	f1r	f1r.16	P	f1r.16	3	false	1	1	A	0	0	118
119	chol	f1r	f1r.16	P	f1r.16	3	false	1	1	A	1	1	119
120	shodan	f1r	f1r.16	P	f1r.16	3	false	1	1	A	2	2	120
121	kshy	f1r	f1r.16	P	f1r.16	3	false	1	1	A	3	3	121
122	kchy	f1r	f1r.16	P	f1r.16	3	false	1	1	A	4	4	122
123	d	f1r	f1r.16	P	f1r.16	3	false	1	1	A	5	5	123
124	or	f1r	f1r.16	P	f1r.16	3	false	1	1	A	6	6	124
125	chodaiin	f1r	f1r.16	P	f1r.16	3	false	1	1	A	7	7	125
126	sho	f1r	f1r.16	P	f1r.16	3	false	1	1	A	8	8	126
127	koeam	f1r	f1r.16	P	f1r.16	3	false	1	1	A	9	9	127
128	ycho	f1r	f1r.17	P	f1r.17	3	false	1	1	A	0	0	128
129	tchey	f1r	f1r.17	P	f1r.17	3	false	1	1	A	1	1	129
130	chekain	f1r	f1r.17	P	f1r.17	3	false	1	1	A	2	2	130
131	sheo	f1r	f1r.17	P	f1r.17	3	false	1	1	A	3	3	131
132	pshol	f1r	f1r.17	P	f1r.17	3	false	1	1	A	4	4	132
133	dydyd	f1r	f1r.17	P	f1r.17	3	false	1	1	A	5	5	133
134	cthy	f1r	f1r.17	P	f1r.17	3	false	1	1	A	6	6	134
135	daictoy	f1r	f1r.17	P	f1r.17	3	false	1	1	A	7	7	135
136	yto	f1r	f1r.18	P	f1r.18	3	false	1	1	A	0	0	136
137	shol	f1r	f1r.18	P	f1r.18	3	false	1	1	A	1	1	137
138	she	f1r	f1r.18	P	f1r.18	3	false	1	1	A	2	2	138
139	kodshey	f1r	f1r.18	P	f1r.18	3	false	1	1	A	3	3	139
140	cphealy	f1r	f1r.18	P	f1r.18	3	false	1	1	A	4	4	140
141	dar	f1r	f1r.18	P	f1r.18	3	false	1	1	A	5	5	141
142	ain	f1r	f1r.18	P	f1r.18	3	false	1	1	A	6	6	142
143	dain	f1r	f1r.18	P	f1r.18	3	false	1	1	A	7	7	143
144	ckhyds	f1r	f1r.18	P	f1r.18	3	false	1	1	A	8	8	144
145	dchar	f1r	f1r.19	P	f1r.19	3	false	1	1	A	0	0	145
146	shcthaiin	f1r	f1r.19	P	f1r.19	3	false	1	1	A	1	1	146
147	okaiir	f1r	f1r.19	P	f1r.19	3	false	1	1	A	2	2	147
148	chey	f1r	f1r.19	P	f1r.19	3	false	1	1	A	3	3	148
149	@192;chy	f1r	f1r.19	P	f1r.19	3	false	1	1	A	4	4	149
150	@130;tol	f1r	f1r.19	P	f1r.19	3	false	1	1	A	5	5	150
151	cthols	f1r	f1r.19	P	f1r.19	3	false	1	1	A	6	6	151
152	dlocto	f1r	f1r.19	P	f1r.19	3	false	1	1	A	7	7	152
153	shok	f1r	f1r.20	P	f1r.20	3	false	1	1	A	0	0	153
154	chor	f1r	f1r.20	P	f1r.20	3	false	1	1	A	1	1	154
155	chey	f1r	f1r.20	P	f1r.20	3	false	1	1	A	2	2	155
156	dain	f1r	f1r.20	P	f1r.20	3	false	1	1	A	3	3	156
157	ckhey	f1r	f1r.20	P	f1r.20	3	false	1	1	A	4	4	157
158	otol	f1r	f1r.21	P	f1r.21	3	false	1	1	A	0	0	158
159	daiiin	f1r	f1r.21	P	f1r.21	3	false	1	1	A	1	1	159
160	cpho	f1r	f1r.22	P	f1r.22	4	true	1	1	A	0	0	160
161	shaiin	f1r	f1r.22	P	f1r.22	4	false	1	1	A	1	1	161
162	shokcheey	f1r	f1r.22	P	f1r.22	4	false	1	1	A	2	2	162
163	chol	f1r	f1r.22	P	f1r.22	4	false	1	1	A	3	3	163
164	tshodeesy	f1r	f1r.22	P	f1r.22	4	false	1	1	A	4	4	164
165	shey	f1r	f1r.22	P	f1r.22	4	false	1	1	A	5	5	165
166	pydeey	f1r	f1r.22	P	f1r.22	4	false	1	1	A	6	6	166
167	cha	f1r	f1r.22	P	f1r.22	4	false	1	1	A	7	7	167
168	ro	f1r	f1r.22	P	f1r.22	4	false	1	1	A	8	8	168
169	dar	f1r	f1r.22	P	f1r.22	4	false	1	1	A	9	9	169
170	ydoin	f1r	f1r.23	P	f1r.23	4	false	1	1	A	0	0	170
171	chol	f1r	f1r.23	P	f1r.23	4	false	1	1	A	1	1	171
172	dain	f1r	f1r.23	P	f1r.23	4	false	1	1	A	2	2	172
173	cthal	f1r	f1r.23	P	f1r.23	4	false	1	1	A	3	3	173
174	dar	f1r	f1r.23	P	f1r.23	4	false	1	1	A	4	4	174
175	shear	f1r	f1r.23	P	f1r.23	4	false	1	1	A	5	5	175
176	kaiin	f1r	f1r.23	P	f1r.23	4	false	1	1	A	6	6	176
177	dar	f1r	f1r.23	P	f1r.23	4	false	1	1	A	7	7	177
178	shey	f1r	f1r.23	P	f1r.23	4	false	1	1	A	8	8	178
179	cthar	f1r	f1r.23	P	f1r.23	4	false	1	1	A	9	9	179
180	cho	f1r	f1r.24	P	f1r.24	4	false	1	1	A	0	0	180
181	?o	f1r	f1r.24	P	f1r.24	4	false	1	1	A	1	1	181
182	kaiin	f1r	f1r.24	P	f1r.24	4	false	1	1	A	2	2	182
183	shoaiin	f1r	f1r.24	P	f1r.24	4	false	1	1	A	3	3	183
184	okol	f1r	f1r.24	P	f1r.24	4	false	1	1	A	4	4	184
185	daiin	f1r	f1r.24	P	f1r.24	4	false	1	1	A	5	5	185
186	far	f1r	f1r.24	P	f1r.24	4	false	1	1	A	6	6	186
187	cthol	f1r	f1r.24	P	f1r.24	4	false	1	1	A	7	7	187
188	daiin	f1r	f1r.24	P	f1r.24	4	false	1	1	A	8	8	188
189	ctholdar	f1r	f1r.24	P	f1r.24	4	false	1	1	A	9	9	189
190	ycheey	f1r	f1r.25	P	f1r.25	4	false	1	1	A	0	0	190
191	okeey	f1r	f1r.25	P	f1r.25	4	false	1	1	A	1	1	191
192	oky	f1r	f1r.25	P	f1r.25	4	false	1	1	A	2	2	192
193	daiin	f1r	f1r.25	P	f1r.25	4	false	1	1	A	3	3	193
194	okchey	f1r	f1r.25	P	f1r.25	4	false	1	1	A	4	4	194
195	kokaiin	f1r	f1r.25	P	f1r.25	4	false	1	1	A	5	5	195
196	o?chol	f1r	f1r.25	P	f1r.25	4	false	1	1	A	6	6	196
197	k?dchy	f1r	f1r.25	P	f1r.25	4	false	1	1	A	7	7	197
198	dal	f1r	f1r.25	P	f1r.25	4	false	1	1	A	8	8	198
199	dcheo	f1r	f1r.26	P	f1r.26	4	false	1	1	A	0	0	199
200	shody	f1r	f1r.26	P	f1r.26	4	false	1	1	A	1	1	200
201	koshey	f1r	f1r.26	P	f1r.26	4	false	1	1	A	2	2	201
202	cthy	f1r	f1r.26	P	f1r.26	4	false	1	1	A	3	3	202
203	ok	f1r	f1r.26	P	f1r.26	4	false	1	1	A	4	4	203
204	chey	f1r	f1r.26	P	f1r.26	4	false	1	1	A	5	5	204
205	keey	f1r	f1r.26	P	f1r.26	4	false	1	1	A	6	6	205
206	keey	f1r	f1r.26	P	f1r.26	4	false	1	1	A	7	7	206
207	dal	f1r	f1r.26	P	f1r.26	4	false	1	1	A	8	8	207
208	chtor	f1r	f1r.26	P	f1r.26	4	false	1	1	A	9	9	208
209	?eo?	f1r	f1r.27	P	f1r.27	4	false	1	1	A	0	0	209
210	chol	f1r	f1r.27	P	f1r.27	4	false	1	1	A	1	1	210
211	chok	f1r	f1r.27	P	f1r.27	4	false	1	1	A	2	2	211
212	choty	f1r	f1r.27	P	f1r.27	4	false	1	1	A	3	3	212
213	chotey	f1r	f1r.27	P	f1r.27	4	false	1	1	A	4	4	213
214	dchaiin	f1r	f1r.28	P	f1r.28	4	false	1	1	A	0	0	214
215	kchsy	f1v	f1v.1	P	f1v.1	1	true	1	1	A	0	0	0
216	chydaiin	f1v	f1v.1	P	f1v.1	1	false	1	1	A	1	1	1
217	ol	f1v	f1v.1	P	f1v.1	1	false	1	1	A	2	2	2
218	o	f1v	f1v.1	P	f1v.1	1	false	1	1	A	3	3	3
219	l	f1v	f1v.1	P	f1v.1	1	false	1	1	A	4	4	4
220	tchey	f1v	f1v.1	P	f1v.1	1	false	1	1	A	5	5	5
221	char	f1v	f1v.1	P	f1v.1	1	false	1	1	A	6	6	6
222	cfhar	f1v	f1v.1	P	f1v.1	1	false	1	1	A	7	7	7
223	am	f1v	f1v.1	P	f1v.1	1	false	1	1	A	8	8	8
224	yteey	f1v	f1v.2	P	f1v.2	1	false	1	1	A	0	0	9
225	char	f1v	f1v.2	P	f1v.2	1	false	1	1	A	1	1	10
226	or	f1v	f1v.2	P	f1v.2	1	false	1	1	A	2	2	11
227	ochy	f1v	f1v.2	P	f1v.2	1	false	1	1	A	3	3	12
228	dcho	f1v	f1v.2	P	f1v.2	1	false	1	1	A	4	4	13
229	lkody	f1v	f1v.2	P	f1v.2	1	false	1	1	A	5	5	14
230	okodar	f1v	f1v.2	P	f1v.2	1	false	1	1	A	6	6	15
231	chody	f1v	f1v.2	P	f1v.2	1	false	1	1	A	7	7	16
232	da	f1v	f1v.3	P	f1v.3	1	false	1	1	A	0	0	17
233	ckhy	f1v	f1v.3	P	f1v.3	1	false	1	1	A	1	1	18
234	ckhockhy	f1v	f1v.3	P	f1v.3	1	false	1	1	A	2	2	19
235	shy	f1v	f1v.3	P	f1v.3	1	false	1	1	A	3	3	20
236	dksheey	f1v	f1v.3	P	f1v.3	1	false	1	1	A	4	4	21
237	cthy	f1v	f1v.3	P	f1v.3	1	false	1	1	A	5	5	22
238	kotchody	f1v	f1v.3	P	f1v.3	1	false	1	1	A	6	6	23
239	dal	f1v	f1v.3	P	f1v.3	1	false	1	1	A	7	7	24
240	dol	f1v	f1v.4	P	f1v.4	1	false	1	1	A	0	0	25
241	chokeo	f1v	f1v.4	P	f1v.4	1	false	1	1	A	1	1	26
242	dair	f1v	f1v.4	P	f1v.4	1	false	1	1	A	2	2	27
243	dam	f1v	f1v.4	P	f1v.4	1	false	1	1	A	3	3	28
244	sochey	f1v	f1v.4	P	f1v.4	1	false	1	1	A	4	4	29
245	chokody	f1v	f1v.4	P	f1v.4	1	false	1	1	A	5	5	30
246	potoy	f1v	f1v.5	P	f1v.5	2	true	1	1	A	0	0	31
247	shol	f1v	f1v.5	P	f1v.5	2	false	1	1	A	1	1	32
248	dair	f1v	f1v.5	P	f1v.5	2	false	1	1	A	2	2	33
249	cphoal	f1v	f1v.5	P	f1v.5	2	false	1	1	A	3	3	34
250	dar	f1v	f1v.5	P	f1v.5	2	false	1	1	A	4	4	35
251	chey	f1v	f1v.5	P	f1v.5	2	false	1	1	A	5	5	36
252	tody	f1v	f1v.5	P	f1v.5	2	false	1	1	A	6	6	37
253	otoaiin	f1v	f1v.5	P	f1v.5	2	false	1	1	A	7	7	38
254	shoshy	f1v	f1v.5	P	f1v.5	2	false	1	1	A	8	8	39
255	choky	f1v	f1v.6	P	f1v.6	2	false	1	1	A	0	0	40
256	chol	f1v	f1v.6	P	f1v.6	2	false	1	1	A	1	1	41
257	ctho	f1v	f1v.6	P	f1v.6	2	false	1	1	A	2	2	42
258	l	f1v	f1v.6	P	f1v.6	2	false	1	1	A	3	3	43
259	shol	f1v	f1v.6	P	f1v.6	2	false	1	1	A	4	4	44
260	okal	f1v	f1v.6	P	f1v.6	2	false	1	1	A	5	5	45
261	dolchey	f1v	f1v.6	P	f1v.6	2	false	1	1	A	6	6	46
262	chodo	f1v	f1v.6	P	f1v.6	2	false	1	1	A	7	7	47
263	lol	f1v	f1v.6	P	f1v.6	2	false	1	1	A	8	8	48
264	chy	f1v	f1v.6	P	f1v.6	2	false	1	1	A	9	9	49
265	cthy	f1v	f1v.6	P	f1v.6	2	false	1	1	A	10	10	50
266	qo	f1v	f1v.7	P	f1v.7	2	false	1	1	A	0	0	51
267	ol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	1	1	52
268	choees	f1v	f1v.7	P	f1v.7	2	false	1	1	A	2	2	53
269	cheol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	3	3	54
270	dol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	4	4	55
271	cthey	f1v	f1v.7	P	f1v.7	2	false	1	1	A	5	5	56
272	ykol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	6	6	57
273	dol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	7	7	58
274	dolo	f1v	f1v.7	P	f1v.7	2	false	1	1	A	8	8	59
275	ykol	f1v	f1v.7	P	f1v.7	2	false	1	1	A	9	9	60
276	do	f1v	f1v.7	P	f1v.7	2	false	1	1	A	10	10	61
277	lchiody	f1v	f1v.7	P	f1v.7	2	false	1	1	A	11	11	62
278	okolshol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	0	0	63
279	kol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	1	1	64
280	kechy	f1v	f1v.8	P	f1v.8	2	false	1	1	A	2	2	65
281	chol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	3	3	66
282	ky	f1v	f1v.8	P	f1v.8	2	false	1	1	A	4	4	67
283	chol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	5	5	68
284	cthol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	6	6	69
285	chody	f1v	f1v.8	P	f1v.8	2	false	1	1	A	7	7	70
286	chol	f1v	f1v.8	P	f1v.8	2	false	1	1	A	8	8	71
287	daiin	f1v	f1v.8	P	f1v.8	2	false	1	1	A	9	9	72
288	shor	f1v	f1v.9	P	f1v.9	2	false	1	1	A	0	0	73
289	okol	f1v	f1v.9	P	f1v.9	2	false	1	1	A	1	1	74
290	chol	f1v	f1v.9	P	f1v.9	2	false	1	1	A	2	2	75
291	dol	f1v	f1v.9	P	f1v.9	2	false	1	1	A	3	3	76
292	ky	f1v	f1v.9	P	f1v.9	2	false	1	1	A	4	4	77
293	dar	f1v	f1v.9	P	f1v.9	2	false	1	1	A	5	5	78
294	shol	f1v	f1v.9	P	f1v.9	2	false	1	1	A	6	6	79
295	dchor	f1v	f1v.9	P	f1v.9	2	false	1	1	A	7	7	80
296	o	f1v	f1v.9	P	f1v.9	2	false	1	1	A	8	8	81
297	tcho	f1v	f1v.9	P	f1v.9	2	false	1	1	A	9	9	82
298	dar	f1v	f1v.9	P	f1v.9	2	false	1	1	A	10	10	83
299	shody	f1v	f1v.9	P	f1v.9	2	false	1	1	A	11	11	84
300	taor	f1v	f1v.10	P	f1v.10	2	false	1	1	A	0	0	85
301	chotchey	f1v	f1v.10	P	f1v.10	2	false	1	1	A	1	1	86
302	dal	f1v	f1v.10	P	f1v.10	2	false	1	1	A	2	2	87
303	chody	f1v	f1v.10	P	f1v.10	2	false	1	1	A	3	3	88
304	schody	f1v	f1v.10	P	f1v.10	2	false	1	1	A	4	4	89
305	pol	f1v	f1v.10	P	f1v.10	2	false	1	1	A	5	5	90
306	chodar	f1v	f1v.10	P	f1v.10	2	false	1	1	A	6	6	91
307	kydainy	f2r	f2r.1	P	f2r.1	1	true	1	1	A	0	0	0
308	ypchol	f2r	f2r.1	P	f2r.1	1	false	1	1	A	1	1	1
309	daiin	f2r	f2r.1	P	f2r.1	1	false	1	1	A	2	2	2
310	otchal	f2r	f2r.1	P	f2r.1	1	false	1	1	A	3	3	3
311	ypchaiin	f2r	f2r.1	P	f2r.1	1	false	1	1	A	4	4	4
312	ckholsy	f2r	f2r.1	P	f2r.1	1	false	1	1	A	5	5	5
313	dorchory	f2r	f2r.2	P	f2r.2	1	false	1	1	A	0	0	6
314	chkar	f2r	f2r.2	P	f2r.2	1	false	1	1	A	1	1	7
315	s	f2r	f2r.2	P	f2r.2	1	false	1	1	A	2	2	8
316	shor	f2r	f2r.2	P	f2r.2	1	false	1	1	A	3	3	9
317	cthy	f2r	f2r.2	P	f2r.2	1	false	1	1	A	4	4	10
318	cto	f2r	f2r.2	P	f2r.2	1	false	1	1	A	5	5	11
319	qotaiin	f2r	f2r.3	P	f2r.3	1	false	1	1	A	0	0	12
320	cthey	f2r	f2r.3	P	f2r.3	1	false	1	1	A	1	1	13
321	y	f2r	f2r.3	P	f2r.3	1	false	1	1	A	2	2	14
322	chor	f2r	f2r.3	P	f2r.3	1	false	1	1	A	3	3	15
323	chy	f2r	f2r.3	P	f2r.3	1	false	1	1	A	4	4	16
324	ydy	f2r	f2r.3	P	f2r.3	1	false	1	1	A	5	5	17
325	chaiin	f2r	f2r.3	P	f2r.3	1	false	1	1	A	6	6	18
326	c'oaiidy	f2r	f2r.4	P	f2r.4	1	false	1	1	A	0	0	19
327	chtod	f2r	f2r.4	P	f2r.4	1	false	1	1	A	1	1	20
328	dy	f2r	f2r.4	P	f2r.4	1	false	1	1	A	2	2	21
329	cphy	f2r	f2r.4	P	f2r.4	1	false	1	1	A	3	3	22
330	dals	f2r	f2r.4	P	f2r.4	1	false	1	1	A	4	4	23
331	chokaiin	f2r	f2r.4	P	f2r.4	1	false	1	1	A	5	5	24
332	d	f2r	f2r.4	P	f2r.4	1	false	1	1	A	6	6	25
333	otochor	f2r	f2r.5	P	f2r.5	1	false	1	1	A	0	0	26
334	al	f2r	f2r.5	P	f2r.5	1	false	1	1	A	1	1	27
335	shodaiin	f2r	f2r.5	P	f2r.5	1	false	1	1	A	2	2	28
336	chol	f2r	f2r.5	P	f2r.5	1	false	1	1	A	3	3	29
337	dan	f2r	f2r.5	P	f2r.5	1	false	1	1	A	4	4	30
338	ytchaiin	f2r	f2r.5	P	f2r.5	1	false	1	1	A	5	5	31
339	dan	f2r	f2r.5	P	f2r.5	1	false	1	1	A	6	6	32
340	saiin	f2r	f2r.6	P	f2r.6	1	false	1	1	A	0	0	33
341	dain	f2r	f2r.6	P	f2r.6	1	false	1	1	A	1	1	34
342	d	f2r	f2r.6	P	f2r.6	1	false	1	1	A	2	2	35
343	dkol	f2r	f2r.6	P	f2r.6	1	false	1	1	A	3	3	36
344	sor	f2r	f2r.6	P	f2r.6	1	false	1	1	A	4	4	37
345	ytoldy	f2r	f2r.6	P	f2r.6	1	false	1	1	A	5	5	38
346	dchol	f2r	f2r.6	P	f2r.6	1	false	1	1	A	6	6	39
347	dchy	f2r	f2r.6	P	f2r.6	1	false	1	1	A	7	7	40
