target_a	target_b	control_rank	control_a	control_b	frequency_match_score	regime_js	distance_js_1_5	regime_concentration_a	regime_concentration_b
lchedy	qol	1	cthy	saiin	0	0.6337537122335464	0.14566587092237043	0.005613431108021463	0.003624115529481206
lchedy	qol	2	chdy	sar	0	0.8003379420600308	0.19183330043097	0.0037399759863481043	0.003420519928364653
lchedy	qol	3	am	cthy	0	0.6002542336405252	0.15357820418457196	0.0029659190778799607	0.005613431108021463
okaiin	ol	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
okaiin	ol	2	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
okaiin	ol	3	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
okain	ol	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
okain	ol	2	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
okain	ol	3	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
qokaiin	qol	1	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
qokaiin	qol	2	al	sol	0	0.7531752645988122	0.22024231403928313	0.003068788315540028	0.00437997744486519
qokaiin	qol	3	r	shor	0	0.7642795135881248	0.17138371742916186	0.0032919754914190924	0.004040637546115294
daiin	dol	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
daiin	dol	2	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
daiin	dol	3	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
aiin	ar	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
aiin	ar	2	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
aiin	ar	3	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
qokain	qol	1	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
qokain	qol	2	al	sol	0	0.7531752645988122	0.22024231403928313	0.003068788315540028	0.00437997744486519
qokain	qol	3	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
chol	cthy	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
chol	cthy	2	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
chol	cthy	3	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
lchedy	qokeey	1	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
lchedy	qokeey	2	am	qokeedy	0	0.7347972068880602	0.2191996646346926	0.0029659190778799607	0.005759717112383264
lchedy	qokeey	3	al	sol	0	0.7531752645988122	0.22024231403928313	0.003068788315540028	0.00437997744486519
chedy	qokeey	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
chedy	qokeey	2	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
chedy	qokeey	3	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
qokedy	qol	1	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
qokedy	qol	2	al	sol	0	0.7531752645988122	0.22024231403928313	0.003068788315540028	0.00437997744486519
qokedy	qol	3	otam	qokain	0	0.724126656021627	0.2000587725694535	0.0032959662543401366	0.005894789846319058
dal	ol	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
dal	ol	2	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
dal	ol	3	aiin	qotchy	0	0.6965754080690876	0.174282912119771	0.0031706534972206625	0.005247382284078687
ain	al	1	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
ain	al	2	otam	qokain	0	0.724126656021627	0.2000587725694535	0.0032959662543401366	0.005894789846319058
ain	al	3	r	shor	0	0.7642795135881248	0.17138371742916186	0.0032919754914190924	0.004040637546115294
ain	ar	1	sar	shedy	0	0.8185940908304282	0.25754757755538404	0.003420519928364653	0.005527916783172155
ain	ar	2	sar	shey	0	0.8260064988609369	0.2578395075476683	0.003420519928364653	0.004083343167183665
ain	ar	3	shedy	sor	0	0.7819330640352745	0.21063141926999415	0.005527916783172155	0.00366406550365238
qokar	qol	1	r	shor	0	0.7642795135881248	0.17138371742916186	0.0032919754914190924	0.004040637546115294
qokar	qol	2	sar	shol	0	0.7649695945722395	0.2066879166529679	0.003420519928364653	0.0035997742330261006
qokar	qol	3	sar	sheey	0	0.8301222187545324	0.23536372956019705	0.003420519928364653	0.0034421693081204026
qol	qotain	1	sheey	sor	0	0.8041542143250805	0.19995492014675326	0.0034421693081204026	0.00366406550365238
qol	qotain	2	shy	sor	0	0.7666941479707178	0.17184290083346182	0.0042625143169512485	0.00366406550365238
qol	qotain	3	chckhy	pchedy	0	0.8132317681629009	0.14849290199664442	0.003962746523709914	0.005553505979938395
okar	otain	1	r	shor	0	0.7642795135881248	0.17138371742916186	0.0032919754914190924	0.004040637546115294
okar	otain	2	am	sar	0	0.7954556976894517	0.19980488451228537	0.0029659190778799607	0.003420519928364653
okar	otain	3	dam	saiin	0	0.7947910736615581	0.16154562351222546	0.0036113644434402794	0.003624115529481206
