metadata	method_scope	metric	observed	observed_window	observed_method	observed_k	null_mean	null_median	null_sd	null_p95	null_p99	null_max	exceedances	empirical_p	permutations	scope
hand	k_medoids	NMI	0.737807762679292	1000	k_medoids	4	0.6027695816657889	0.6131692987323039	0.09655570967964788	0.7389316458787701	0.8158485758399819	0.9291110274454191	526	0.05269473052694731	10000	purity_0.8
hand	global	NMI	0.7450819387653966	1000	hierarchical	15	0.6265009481126429	0.6373569090253088	0.09783939060152244	0.766319538527758	0.822996256380553	0.9291110274454191	861	0.0861913808619138	10000	purity_0.8
hand	contiguous_segmentation	ARI	0.5848038087040341	1000	contiguous_segmentation	4	0.4620931428642468	0.4696241487571644	0.14403185530910956	0.6898597039404692	0.7789903545864149	0.9416348406640335	1934	0.1934806519348065	10000	purity_0.8
hand	hierarchical	ARI	0.7287752466954137	500	hierarchical	14	0.5362615540921898	0.5514980344136955	0.12872641583962613	0.717452383206245	0.7790106847999944	0.868234543711754	380	0.0380961903809619	10000	purity_0.8
hand	k_medoids	ARI	0.6501469385359467	200	k_medoids	5	0.4552447471144178	0.4309841760167432	0.1525200887569808	0.7807887646067339	0.8812249191386256	0.9815643841584025	1212	0.1212878712128787	10000	purity_0.8
hand	global	ARI	0.7287752466954137	500	hierarchical	14	0.5756048065633856	0.5765715975171974	0.13860359645344808	0.7968784973756374	0.884615863773065	0.9815643841584025	1331	0.1331866813318668	10000	purity_0.8
hand	contiguous_segmentation	NMI	0.7136254963721926	1000	contiguous_segmentation	4	0.6008118445009127	0.6171940622943821	0.11526327576569127	0.7638638069172613	0.8209684319059272	0.9247735044376718	1531	0.1531846815318468	10000	purity_0.9
hand	hierarchical	NMI	0.7729455634067087	1000	hierarchical	15	0.634929413098348	0.6514995323122316	0.11298282521067365	0.7863816235604261	0.8316207001018073	0.8803911171568284	721	0.07219278072192781	10000	purity_0.9
hand	k_medoids	NMI	0.7539579374050207	1000	k_medoids	14	0.637387429034766	0.6474069400502607	0.1068489567449211	0.7917914664748	0.8797482681811555	0.968237448667288	1060	0.1060893910608939	10000	purity_0.9
hand	global	NMI	0.7729455634067087	1000	hierarchical	15	0.6702100352793121	0.6826480946656497	0.10893473082816335	0.8232345461754739	0.880204572769164	0.968237448667288	1501	0.1501849815018498	10000	purity_0.9
hand	contiguous_segmentation	ARI	0.6398315030436976	1000	contiguous_segmentation	4	0.517922003357731	0.5251856578183256	0.1571468929962077	0.7531314447900873	0.8330832447932995	0.9639319816266455	2254	0.22547745225477453	10000	purity_0.9
hand	hierarchical	ARI	0.765150878600197	500	hierarchical	14	0.583256711765418	0.6042293059809276	0.14103042085668974	0.7715075094924917	0.8306063186548897	0.9119821111747421	611	0.061193880611938804	10000	purity_0.9
hand	k_medoids	ARI	0.6485210732231556	200	k_medoids	5	0.49591393178769705	0.4697285959677937	0.16292889821479073	0.8540488183861804	0.9310108832779747	0.9914896001100802	1405	0.14058594140585942	10000	purity_0.9
hand	global	ARI	0.765150878600197	500	hierarchical	14	0.6249701056148786	0.6287898294444276	0.14968020606859433	0.8645520398075757	0.9315559586273086	0.9914896001100802	1763	0.17638236176382363	10000	purity_0.9
