rank	token_a	token_b	count_a	count_b	persistence_1_5	mean_js_1_5	mean_js_6_10	mean_js_11_20	js_d1	percentile_d1	js_d2	percentile_d2	js_d3	percentile_d3	js_d5	percentile_d5	js_d10	percentile_d10	js_d20	percentile_d20
11	chor	daiin	211	848	98.93933755117231	0.3799236843922185	0.3714778446323507	0.3641623750243571	0.35937977628631146	98.93003349460365	0.3805934979157367	99.07889839970227	0.41897001912306775	99.62783773725344	0.35237836873566253	97.87867510234462	0.35024350424116113	97.79493859322665	0.3667087363235081	98.892817268329
12	or	s	390	350	98.88723483438778	0.4040937436124114	0.36803133914765035	0.34796438128973206	0.5434064534569318	100	0.35055858372594595	98.28805359136584	0.3712560332012159	98.90212132489765	0.40481948341966234	99.2742835876442	0.37362481849831497	98.59508745813174	0.32208551121103624	97.2646073688128
13	qokaiin	qol	265	142	98.7904726460737	0.3689194814537394	0.3724050980996489	0.34677847978761167	0.32903051828097873	98.08336434685523	0.3860866221785314	99.21845924823224	0.3801225488395582	99.16263490882025	0.36450317691938017	98.39039821362114	0.3844087104430003	98.94864160774098	0.3333676703561673	97.729810197246
14	lchedy	qokeey	116	307	98.56717528842576	0.36243539498563077	0.35544842959527223	0.3378531741861338	0.36510672259242527	99.00446594715297	0.3531029677528681	98.34387793077782	0.36183455892336347	98.66951991068106	0.38069697585396156	98.81838481577968	0.340059067119897	97.37625604763677	0.33659986733002667	97.81354670636398
15	qokedy	qol	276	142	98.55228879791589	0.36307068451714963	0.416426631387283	0.394475842803436	0.33837347744716084	98.43691849646446	0.3250563835007878	97.18087085969482	0.3947279259936811	99.44175660588016	0.381650506099967	98.84629698548567	0.41876145065833714	99.48827688872349	0.3858650855486525	99.4045403796055
16	lchedy	qokain	116	279	98.48716040193526	0.37016149004736604	0.36830321158367385	0.35736075037032167	0.28259407991421637	95.48753256419799	0.38533151454491454	99.20915519166357	0.39871985837096424	99.47897283215482	0.4005494247257232	99.20915519166357	0.3938695330680567	99.13472273911425	0.34939293016058515	98.32526981764049
17	qokar	qol	159	142	98.20245627093414	0.3597281493204208	0.3342230117195966	0.3005331734369775	0.39519949788288733	99.47897283215482	0.3746719805868711	98.97655377744697	0.3065950085493351	95.91551916635653	0.3658850923399668	98.41831038332712	0.34424466180573643	97.55303312244139	0.3256575395103086	97.44138444361742
18	r	s	169	350	98.05545217714923	0.3672174017096127	0.29332963155849845	0.28339818275735057	0.46375569376070946	99.85113509490138	0.36281216808807837	98.65091179754373	0.35668346130360506	98.49274283587644	0.3274505393549516	96.81801265351693	0.31346866089269887	96.21324897655377	0.23852697814163237	89.22590249348715
19	okain	ol	141	560	97.6107182731671	0.3444561775382872	0.38474667929229234	0.3607556323130393	0.37436079486105245	99.1998511350949	0.3610098388634362	98.61369557126908	0.30790390140881485	95.95273539263118	0.35987383436092757	98.18570896911054	0.3555662835244765	98.01823595087458	0.35338220629579953	98.48343877930778
20	or	r	390	169	96.78637886118347	0.34723240721307835	0.3242163767276325	0.2910552015915198	0.48309020404310743	99.88835132117603	0.3142001712190605	96.52028284331969	0.30259419002814913	95.61778935615929	0.2804525450212272	93.74767398585783	0.34268421596185095	97.48790472646074	0.28630883027951193	94.75251209527354
21	lchedy	qol	116	142	96.72125046520281	0.3327717051640281	0.3355301733322138	0.32814451246799586	0.24198967274091276	91.17975437290659	0.3618641170925476	98.62299962783774	0.31507100640087105	96.41793822106439	0.37449831152058655	98.66951991068106	0.3140053977767969	96.22255303312244	0.36007036991335073	98.68812802381838
22	lchedy	qokar	116	159	95.94715295869	0.30863895134322084	0.26921786112340235	0.29081652204794606	0.2835563555911196	95.58057312988463	0.2878549056524856	94.38965388909564	0.30550387597506623	95.85039077037588	0.33537997152658383	97.07852623743952	0.2451382581549616	89.79344994417566	0.25799781811468736	91.62634908820246
23	daiin	dol	848	109	95.5842947525121	0.304462631845297	0.3228192550699041	0.3155048386961955	0.3121295314076826	97.40416821734276	0.3191597404684069	96.81801265351693	0.32170545007685836	96.79940454037961	0.2600476660723502	91.54261257908448	0.30395219768423376	95.7201339784146	0.30106590591353466	95.9248232229252
24	chol	cthy	395	103	95.36471901749164	0.3033052144413251	0.2977093689965657	0.2716353537336854	0.32045083937516217	97.79493859322665	0.3180017528242547	96.76218831410495	0.2519638042514891	90.37030145143282	0.3112677159782389	96.10160029772982	0.3299123448667546	96.97618161518422	0.32101170607754825	97.18087085969482
25	ain	ar	113	403	93.37923334573874	0.29520229553383387	0.28634377445752995	0.27247512547083275	0.4107277011147549	99.65574990695943	0.2604167451411532	91.24488276888724	0.24275865957635367	88.9560848529959	0.28096637663637647	93.80349832526981	0.2930389958802274	94.96650539635282	0.27676193177751063	93.74767398585783
26	qol	qotain	142	60	92.13248976553777	0.26538617709083795	0.3153056195516351	0.2578452250377562	0.24964963361582282	92.19389653889095	0.2829532035428497	93.90584294752512	0.23712627388803886	87.96985485671753	0.2758227485724507	93.32899144026796	0.3369941488696734	97.2646073688128	0.25163019442895673	90.83550427986602
27	ain	al	113	261	90.3740230740603	0.2539437942494881	0.2709231519994969	0.2632555798386278	0.28072269900456837	95.32005954596204	0.23651788463037515	87.52326014142166	0.2406774647647566	88.63974692966133	0.22773807912997113	86.88128023818385	0.2949696488664858	95.11537030145143	0.32206807944044524	97.25530331224414
28	okar	otain	140	96	80.62523260141421	0.23715358332281963	0.24892644446150128	0.2302444427878651	0.39165737147024005	99.38593226646817	0.21837394475766803	83.75511723111276	0.2598870246743462	91.51470040937849	0.15429374586713684	62.606996650539635	0.2420280373164112	89.32824711574246	0.23950007866630219	89.44919985113509
