Corpus	Mode	Order	Samples	ObservedContexts	UniqueContexts	EntropyBits	Normalized	ContextCoverage	Status
Longfellow	WITHIN_TOKEN_ONLY	4	36871	5310	7045	0.424256725	0.090258944	0.144015622	OK
Astafiev	CONTINUOUS	0	445882	1	64	4.622513366	0.770418894	0.000002243	OK
Astafiev	CONTINUOUS	1	445881	64	1298	3.667520695	0.611253449	0.000143536	OK
Astafiev	CONTINUOUS	2	445880	1298	10950	2.819254126	0.469875688	0.002911097	OK
Astafiev	CONTINUOUS	3	445879	10950	41982	1.933129326	0.322188221	0.024558232	OK
Astafiev	CONTINUOUS	4	445878	41982	87348	1.291098320	0.215183053	0.094155800	OK
Astafiev	TOKEN_BOUNDARY	0	531161	1	65	4.515987915	0.749869164	0.000001883	OK
Astafiev	TOKEN_BOUNDARY	1	531160	65	811	3.388757264	0.562695167	0.000122374	OK
Astafiev	TOKEN_BOUNDARY	2	531159	811	5658	2.482775727	0.412259066	0.001526850	OK
Astafiev	TOKEN_BOUNDARY	3	531158	5658	20813	1.699936312	0.282270423	0.010652198	OK
Astafiev	TOKEN_BOUNDARY	4	531157	20813	50693	1.277644190	0.212149811	0.039184271	OK
Astafiev	WITHIN_TOKEN_ONLY	0	445882	1	64	4.622513366	0.770418894	0.000002243	OK
Astafiev	WITHIN_TOKEN_ONLY	1	360602	62	719	3.275761732	0.545960289	0.000171935	OK
Astafiev	WITHIN_TOKEN_ONLY	2	289077	687	3866	2.220348649	0.370058108	0.002376529	OK
Astafiev	WITHIN_TOKEN_ONLY	3	224933	3415	8753	1.163859074	0.193976512	0.015182299	OK
Astafiev	WITHIN_TOKEN_ONLY	4	166246	6844	11082	0.647087552	0.107847925	0.041167908	OK
