joint_class	block_index	block_len	position_in_block	absolute_position	scale_support_count	scale_support_fraction	mean_jump_strength	max_jump_strength	position_uncertainty	signature_token	signature_direction	signature_magnitude
1/1	5	348	235	7845	2	0.6666666666666666	0.09540157730728001	0.09999999999999999	5	chko	increase	0.02
1/1	5	348	285	7895	2	0.6666666666666666	0.09470146130309062	0.09999999999999999	5	aiin	increase	0.02
1/1	5	348	70	7680	2	0.6666666666666666	0.0887578519253863	0.09999999999999999	10	cthy	increase	0.04
1/1	5	348	115	7725	2	0.6666666666666666	0.08439140581263593	0.09999999999999999	15	cthy	increase	0.020000000000000004
1/1	6	161	58	8290	2	1	0.08804457213856555	0.09245112497836531	2.5	chol	decrease	0.020000000000000004
1/1	6	161	115	8347	1	0.5	0.09715082342575553	0.09999999999999999	0	char	decrease	0.02
1/1	7	283	150	8760	3	1	0.07829057053180023	0.09245112497836531	10	daiin	increase	0.020000000000000004
1/1	7	283	108	8718	2	0.6666666666666666	0.0929679338681996	0.09999999999999999	7.5	cheey	decrease	0.02
1/1	7	283	75	8685	2	0.6666666666666666	0.08945131716392263	0.09245112497836531	15	shor	decrease	0.039999999999999994
1/1	7	283	35	8645	1	0.3333333333333333	0.09145247027726656	0.09145247027726656	0	c'od	increase	0.02
1/1	7	283	230	8840	1	0.3333333333333333	0.06390359525563188	0.06390359525563188	0	cho	increase	0.020000000000000004
1/1	7	283	180	8790	1	0.3333333333333333	0.06266646632607942	0.06266646632607942	0	daiin	decrease	0.020000000000000004
1/1	8	655	354	9440	4	1	0.09198067705146631	0.09999999999999999	18.75	as	decrease	0.02
1/1	8	655	405	9491	3	0.75	0.09342074225196426	0.10000000000000002	5	cthody	increase	0.02
1/1	8	655	258	9344	3	0.75	0.08764779269017142	0.09999999999999999	13.333333333333314	am	decrease	0.02
1/1	8	655	298	9384	2	0.5	0.1	0.10000000000000002	12.5	chckheey	decrease	0.02
1/1	8	655	138	9224	2	0.5	0.09715082342575553	0.09999999999999999	2.5	chey	increase	0.02
1/1	8	655	190	9276	2	0.5	0.08808694772017223	0.09245112497836534	10	daiin	decrease	0.04
1/1	8	655	328	9414	2	0.5	0.08720146130309063	0.09245112497836531	2.5	aiin	decrease	0.02
1/1	8	655	473	9559	2	0.5	0.08176671282494853	0.09999999999999999	7.5	dor	increase	0.02
1/1	8	655	625	9711	1	0.25	0.09622556248918265	0.09999999999999999	0	am	decrease	0.02
1/1	8	655	575	9661	1	0.25	0.09245112497836531	0.09245112497836531	0	am	increase	0.02
1/1	8	655	30	9116	1	0.25	0.09195179762781594	0.09999999999999999	0	chody	decrease	0.02
1/1	8	655	100	9186	1	0.25	0.08336971752444654	0.08336971752444654	0	cphodal	decrease	0.02
1/1	8	655	495	9581	1	0.25	0.062486500754868966	0.062486500754868966	0	s	increase	0.04000000000000001
1/1	9	194	93	10063	2	1	0.08488431082395931	0.09999999999999999	17.5	chol	increase	0.04
1/1	9	194	135	10105	1	0.5	0.09	0.09245112497836531	0	qoteey	decrease	0.04
1/1	9	194	40	10010	1	0.5	0.08830074998557687	0.09245112497836531	0	chey	decrease	0.02
2/2	0	183	105	4250	2	1	0.0881773601169986	0.09245112497836531	15	dy	decrease	0.04
2/2	0	183	140	4285	1	0.5	0.09145247027726655	0.09145247027726655	0	dar	decrease	0.020000000000000004
2/2	0	183	40	4185	1	0.5	0.0809531429267172	0.09145247027726656	0	checthedy	decrease	0.02
2/2	1	213	130	5070	2	1	0.09256233546515405	0.09999999999999999	0	alaiin	increase	0.02
2/2	1	213	55	4995	1	0.5	0.09245112497836531	0.09245112497836531	0	chedy	decrease	0.02
2/2	1	213	165	5105	1	0.5	0.09245112497836531	0.09245112497836531	0	chedar	decrease	0.02
2/2	2	454	330	5648	3	1	0.08384350558757797	0.09999999999999999	20	aiin	increase	0.02
2/2	2	454	232	5550	3	1	0.08297787458246773	0.09999999999999999	16.666666666666657	as	increase	0.02
2/2	2	454	125	5443	3	1	0.06771087093940606	0.08079767391768726	15	dy	decrease	0.04000000000000001
2/2	2	454	185	5503	2	0.6666666666666666	0.09118725608686659	0.09999999999999999	5	or	decrease	0.020000000000000004
2/2	2	454	35	5353	1	0.3333333333333333	0.09622556248918265	0.09999999999999999	0	okaiin	increase	0.039999999999999994
2/2	2	454	370	5688	1	0.3333333333333333	0.09245112497836531	0.09999999999999999	0	ar	increase	0.02
2/2	2	454	300	5618	1	0.3333333333333333	0.08419370270634918	0.08419370270634918	0	chcthedy	increase	0.02
2/2	3	511	110	6485	3	1	0.08223336504005474	0.09245112497836531	10	aiir	decrease	0.02
2/2	3	511	263	6638	2	0.6666666666666666	0.08756981348933146	0.09145247027726656	17.5	ar	decrease	0.020000000000000004
2/2	3	511	200	6575	2	0.6666666666666666	0.08524009872465431	0.09999999999999999	0	or	increase	0.020000000000000004
2/2	3	511	75	6450	2	0.6666666666666666	0.08363148306578853	0.09103403047760239	5	shedy	decrease	0.020000000000000004
2/2	3	511	410	6785	2	0.6666666666666666	0.07653980503686461	0.09245112497836531	10	okaiin	decrease	0.020000000000000004
2/2	3	511	30	6405	1	0.3333333333333333	0.09245112497836531	0.09245112497836531	0	chedy	increase	0.02
2/2	3	511	305	6680	1	0.3333333333333333	0.09245112497836531	0.09245112497836531	0	aiir	increase	0.02
2/2	3	511	480	6855	1	0.3333333333333333	0.09245112497836531	0.09245112497836531	0	chedy	decrease	0.02
2/2	3	511	180	6555	1	0.3333333333333333	0.09103403047760238	0.09103403047760238	0	aiin	increase	0.020000000000000004
2/2	3	511	450	6825	1	0.3333333333333333	0.08817736011699859	0.09245112497836531	0	o	increase	0.039999999999999994
2/2	3	511	360	6735	1	0.3333333333333333	0.07676712552288235	0.09162713979646268	0	aiin	decrease	0.02
2/2	4	304	122	7428	3	1	0.09397073153648565	0.09999999999999999	8.333333333333329	checkhy	increase	0.02
2/2	4	304	218	7524	2	0.6666666666666666	0.09811278124459133	0.09999999999999999	12.5	ain	decrease	0.02
2/2	4	304	168	7474	2	0.6666666666666666	0.094338343733774	0.09999999999999999	2.5	ain	increase	0.02
2/2	4	304	100	7406	2	0.6666666666666666	0.07633168664690654	0.07959528001362917	0	dam	decrease	0.02
2/2	4	304	235	7541	1	0.3333333333333333	0.09999999999999999	0.1	0	chey	increase	0.02
2/2	4	304	70	7376	1	0.3333333333333333	0.09496741665224355	0.09999999999999999	0	chedy	decrease	0.020000000000000004
2/2	5	274	153	8111	2	0.6666666666666666	0.09207662946545328	0.09999999999999999	7.5	@136;yfchedy	decrease	0.02
2/2	5	274	93	8051	2	0.6666666666666666	0.08670971924827149	0.09999999999999999	7.5	adoldy	increase	0.02
2/2	5	274	193	8151	2	0.6666666666666666	0.07986563048747433	0.08728013599658335	2.5	chdy	increase	0.02
2/2	5	274	240	8198	1	0.3333333333333333	0.09245112497836531	0.09245112497836531	0	aly	increase	0.02
2/2	5	274	50	8008	1	0.3333333333333333	0.08390359525563187	0.08390359525563187	0	ar	increase	0.02
2/2	6	193	70	8963	2	1	0.09874185416306087	0.09999999999999999	10	ar	decrease	0.02
2/2	6	193	105	8998	2	1	0.07512915774481455	0.09999999999999999	5	chckhey	increase	0.02
2/2	6	193	155	9048	1	0.5	0.09999999999999999	0.09999999999999999	0	okaiin	increase	0.039999999999999994
2/2	6	193	35	8928	1	0.5	0.09430164685151105	0.09999999999999999	0	alol	decrease	0.02
2/2	7	229	95	9836	2	1	0.08911779164503199	0.09999999999999999	5	ain	increase	0.02
2/2	7	229	55	9796	2	1	0.08465258628145596	0.08490224995673064	5	aiin	decrease	0.02
2/2	7	229	120	9861	1	0.5	0.08419370270634918	0.08419370270634918	0	am	increase	0.02
2/2	7	229	165	9906	1	0.5	0.0763547202339972	0.0763547202339972	0	or	increase	0.039999999999999994
2/2	8	6957	5546	20346	4	1	0.07899593847226069	0.09145247027726656	18.75	i'h	increase	0.02
2/2	8	6957	3650	18450	4	1	0.07886842892875205	0.09999999999999999	20	ol	increase	0.020000000000000004
2/2	8	6957	1325	16125	3	0.75	0.09052030762614659	0.09999999999999999	15	qokedy	decrease	0.04
2/2	8	6957	3575	18375	3	0.75	0.08756544503094672	0.09999999999999999	20	akain	increase	0.02
2/2	8	6957	5638	20438	3	0.75	0.08735953865347819	0.09999999999999999	3.33333333333303	chey	increase	0.02
2/2	8	6957	4810	19610	3	0.75	0.08658179131925728	0.09999999999999999	20	ol	increase	0.020000000000000004
2/2	8	6957	3815	18615	3	0.75	0.0864683976806792	0.09999999999999999	15	chcthy	decrease	0.02
2/2	8	6957	1260	16060	3	0.75	0.08617319347096745	0.09999999999999999	0	chckhy	decrease	0.02
2/2	8	6957	3220	18020	3	0.75	0.08541474004898542	0.09999999999999999	0	kas	increase	0.02
2/2	8	6957	5703	20503	3	0.75	0.08504675155186048	0.09245112497836531	6.66666666666697	aiin	increase	0.02
2/2	8	6957	4603	19403	3	0.75	0.08424367245685724	0.09622556248918268	23.33333333333303	alched	decrease	0.02
2/2	8	6957	1908	16708	3	0.75	0.08414946811382629	0.09999999999999999	16.666666666666742	chckhey	increase	0.02
2/2	8	6957	2060	16860	3	0.75	0.08411124852631664	0.09999999999999999	10	cheedy	decrease	0.02
2/2	8	6957	1495	16295	3	0.75	0.08400666765024332	0.09103403047760238	5	chedchey	increase	0.02
2/2	8	6957	672	15472	3	0.75	0.08395494535200097	0.09999999999999999	13.333333333333371	chealy	decrease	0.02
2/2	8	6957	4947	19747	3	0.75	0.08352420013240709	0.0924511249783653	16.66666666666697	ol	decrease	0.020000000000000004
2/2	8	6957	1637	16437	3	0.75	0.08349549293619431	0.09999999999999999	16.666666666666742	ain	decrease	0.02
2/2	8	6957	3505	18305	3	0.75	0.08294244158572911	0.09103403047760239	15	qokain	decrease	0.020000000000000004
2/2	8	6957	6003	20803	3	0.75	0.08290302920148694	0.09145247027726656	16.66666666666697	shedy	increase	0.020000000000000004
2/2	8	6957	3298	18098	3	0.75	0.0826117793800131	0.09245112497836531	3.333333333333485	ol	increase	0.020000000000000004
2/2	8	6957	3142	17942	3	0.75	0.08259800285209792	0.09245112497836531	8.333333333333485	olol	increase	0.02
2/2	8	6957	5357	20157	3	0.75	0.08235313902298501	0.09245112497836531	6.66666666666697	chedy	increase	0.020000000000000004
2/2	8	6957	798	15598	3	0.75	0.08216500989234564	0.09999999999999999	13.333333333333371	olkedy	decrease	0.04
2/2	8	6957	2995	17795	3	0.75	0.08199536563126417	0.09245112497836531	5	al	decrease	0.02
2/2	8	6957	1582	16382	3	0.75	0.08185760748201097	0.09999999999999999	18.333333333333258	ain	increase	0.02
2/2	8	6957	3718	18518	3	0.75	0.08176541061673379	0.09999999999999999	8.333333333333485	ain	increase	0.02
2/2	8	6957	613	15413	3	0.75	0.08021232461898258	0.09103403047760239	13.333333333333371	qokain	increase	0.020000000000000004
2/2	8	6957	3090	17890	3	0.75	0.07749760046511135	0.09245112497836531	10	chey	decrease	0.02
2/2	8	6957	6448	21248	3	0.75	0.0729601170594524	0.09999999999999999	13.33333333333303	chetey	increase	0.02
2/2	8	6957	5415	20215	3	0.75	0.07253561119155126	0.09245112497836531	15	rol	decrease	0.04
2/2	8	6957	5855	20655	3	0.75	0.07159688051018427	0.08390359525563187	10	chedy	decrease	0.020000000000000004
2/2	8	6957	493	15293	3	0.75	0.0692697195603895	0.08746881286661715	13.333333333333314	chedy	decrease	0.02
2/2	8	6957	1403	16203	3	0.75	0.06445892895659484	0.07696948551606778	6.6666666666667425	okal	decrease	0.02
2/2	8	6957	298	15098	3	0.75	0.056720495729950506	0.06603612203690357	3.3333333333333144	dar	increase	0.020000000000000004
2/2	8	6957	4265	19065	2	0.5	0.09392635114282266	0.09999999999999999	5	ar	increase	0.02
2/2	8	6957	5068	19868	2	0.5	0.09373440643330858	0.09999999999999999	12.5	qokal	decrease	0.020000000000000004
2/2	8	6957	1538	16338	2	0.5	0.09367748108253966	0.09999999999999999	12.5	chey	increase	0.02
2/2	8	6957	1438	16238	2	0.5	0.09311278124459132	0.09999999999999999	12.5	cheedy	decrease	0.02
2/2	8	6957	1363	16163	2	0.5	0.09304046073087892	0.09999999999999999	2.5	al	decrease	0.02
2/2	8	6957	830	15630	2	0.5	0.0928788854633464	0.09999999999999999	10	okedy	decrease	0.02
2/2	8	6957	3763	18563	2	0.5	0.09248532656766209	0.09999999999999999	12.5	okchedy	decrease	0.02
2/2	8	6957	4308	19108	2	0.5	0.09220955005817916	0.09999999999999999	7.5	cheol	increase	0.02
2/2	8	6957	6228	21028	2	0.5	0.09197876014477768	0.09999999999999999	17.5	doiir	increase	0.02
2/2	8	6957	2635	17435	2	0.5	0.0919687335699479	0.09999999999999999	5	chchty	decrease	0.02
2/2	8	6957	5918	20718	2	0.5	0.09150751560066098	0.09999999999999999	7.5	lchedy	increase	0.020000000000000004
2/2	8	6957	733	15533	2	0.5	0.09138268376302364	0.09999999999999999	7.5	ly	increase	0.02
2/2	8	6957	573	15373	2	0.5	0.0910988261953113	0.09999999999999999	7.5	cheey	increase	0.02
2/2	8	6957	4533	19333	2	0.5	0.09031077078645817	0.09245112497836531	2.5	ain	increase	0.02
2/2	8	6957	5673	20473	2	0.5	0.09020963259776593	0.09245112497836531	7.5	chepol	decrease	0.02
2/2	8	6957	5768	20568	2	0.5	0.08968022504519835	0.09999999999999999	7.5	chealror	increase	0.02
2/2	8	6957	4340	19140	2	0.5	0.08926906350375459	0.09245112497836531	0	cheol	decrease	0.02
2/2	8	6957	3188	17988	2	0.5	0.08895960889059949	0.09999999999999999	12.5	air	decrease	0.02
2/2	8	6957	3255	18055	2	0.5	0.08860329370302207	0.09145247027726656	5	cholchey	decrease	0.02
2/2	8	6957	5968	20768	2	0.5	0.08810762015038791	0.09999999999999999	2.5	chedy	increase	0.020000000000000004
2/2	8	6957	5288	20088	2	0.5	0.08745265534033582	0.09245112497836531	12.5	chcthey	decrease	0.02
2/2	8	6957	5018	19818	2	0.5	0.087039132387414	0.09245112497836531	7.5	dy	increase	0.02
2/2	8	6957	2678	17478	2	0.5	0.0866248086902003	0.09145247027726658	7.5	dar	increase	0.04
2/2	8	6957	1128	15928	2	0.5	0.08592421337687593	0.09245112497836531	7.5	chal	increase	0.02
2/2	8	6957	3373	18173	2	0.5	0.08588531950211797	0.09999999999999999	7.5	lshey	increase	0.02
2/2	8	6957	2293	17093	2	0.5	0.08566892887080652	0.09245112497836531	2.5	dairol	decrease	0.02
2/2	8	6957	4115	18915	2	0.5	0.08541199259095134	0.09245112497836531	5	chey	increase	0.04
2/2	8	6957	6290	21090	2	0.5	0.08536154622977124	0.09245112497836531	10	dytedy	decrease	0.02
2/2	8	6957	4985	19785	2	0.5	0.08493403366606789	0.09103403047760238	5	chedy	increase	0.020000000000000004
2/2	8	6957	3868	18668	2	0.5	0.08489469631932156	0.09103403047760239	7.5	aiiin	increase	0.02
2/2	8	6957	5143	19943	2	0.5	0.08470678365443271	0.09080315461456001	2.5	qokeedy	increase	0.020000000000000004
2/2	8	6957	1198	15998	2	0.5	0.0845652515218579	0.09145247027726656	12.5	kolpy	increase	0.02
2/2	8	6957	5215	20015	2	0.5	0.08400883961366458	0.09245112497836531	5	cheal	increase	0.02
2/2	8	6957	520	15320	2	0.5	0.0836034471613927	0.09999999999999999	0	dain	decrease	0.02
2/2	8	6957	4230	19030	2	0.5	0.08327420016654898	0.09245112497836531	10	qokaiin	decrease	0.020000000000000004
2/2	8	6957	928	15728	2	0.5	0.08185713562687084	0.09999999999999999	12.5	qokeey	increase	0.039999999999999994
2/2	8	6957	1970	16770	2	0.5	0.08134520662339642	0.09999999999999999	10	qol	increase	0.039999999999999994
2/2	8	6957	3900	18700	2	0.5	0.0809570841724808	0.09999999999999999	0	chcthy	decrease	0.02
2/2	8	6957	2015	16815	2	0.5	0.08080929245764769	0.0881773601169986	15	chcphey	decrease	0.02
