context	stratum	stratum_type	token	count	probability
s_aiin	LINE_MIDDLE	line_position	ol	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	olor	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	otain	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	qokee@149;	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	sha	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	shee	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	shee'	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	sheekchy	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	shekeey	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	shekey	1	0.041666666666666664
s_aiin	LINE_LATE	line_position	char	1	0.125
s_aiin	LINE_LATE	line_position	chokchol	1	0.125
s_aiin	LINE_LATE	line_position	daiin	3	0.375
s_aiin	LINE_LATE	line_position	okain	1	0.125
s_aiin	LINE_LATE	line_position	oky	1	0.125
s_aiin	LINE_LATE	line_position	qokeey	1	0.125
s_aiin	LINE_END	line_position	al	1	0.125
s_aiin	LINE_END	line_position	chokey	1	0.125
s_aiin	LINE_END	line_position	da?	1	0.125
s_aiin	LINE_END	line_position	dal	1	0.125
s_aiin	LINE_END	line_position	oly	1	0.125
s_aiin	LINE_END	line_position	qotchy	1	0.125
s_aiin	LINE_END	line_position	s	1	0.125
s_aiin	LINE_END	line_position	sy	1	0.125
s_aiin	BLOCK_START	block_position_coarse	chey	1	0.125
s_aiin	BLOCK_START	block_position_coarse	da?	1	0.125
s_aiin	BLOCK_START	block_position_coarse	daiin	1	0.125
s_aiin	BLOCK_START	block_position_coarse	okol	1	0.125
s_aiin	BLOCK_START	block_position_coarse	qokee@149;	1	0.125
s_aiin	BLOCK_START	block_position_coarse	s	1	0.125
s_aiin	BLOCK_START	block_position_coarse	shee	1	0.125
s_aiin	BLOCK_START	block_position_coarse	shekeey	1	0.125
s_aiin	BLOCK_MIDDLE	block_position_coarse	al	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	char	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	chcphdy	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	chey	3	0.12
s_aiin	BLOCK_MIDDLE	block_position_coarse	chody	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	chokchol	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	chokey	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	chor	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	daiin	2	0.08
s_aiin	BLOCK_MIDDLE	block_position_coarse	dal	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	doal	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	okain	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	okeam	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	oky	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	ol	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	olor	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	oly	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	otain	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	qokeey	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	sha	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	shee'	1	0.04
s_aiin	BLOCK_MIDDLE	block_position_coarse	shekey	1	0.04
s_aiin	BLOCK_END	block_position_coarse	cheeos	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	cheky	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	chky	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	ody	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	okaiin	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	okey	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	qotchy	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	sheekchy	1	0.1111111111111111
s_aiin	BLOCK_END	block_position_coarse	sy	1	0.1111111111111111
s_aiin	B0	block_position_fixed	chey	1	0.3333333333333333
s_aiin	B0	block_position_fixed	qokee@149;	1	0.3333333333333333
s_aiin	B0	block_position_fixed	shekeey	1	0.3333333333333333
s_aiin	B1	block_position_fixed	da?	1	0.2
s_aiin	B1	block_position_fixed	daiin	1	0.2
s_aiin	B1	block_position_fixed	okol	1	0.2
s_aiin	B1	block_position_fixed	s	1	0.2
s_aiin	B1	block_position_fixed	shee	1	0.2
s_aiin	B2	block_position_fixed	al	1	0.14285714285714285
s_aiin	B2	block_position_fixed	chey	1	0.14285714285714285
s_aiin	B2	block_position_fixed	daiin	1	0.14285714285714285
s_aiin	B2	block_position_fixed	dal	1	0.14285714285714285
s_aiin	B2	block_position_fixed	ol	1	0.14285714285714285
s_aiin	B2	block_position_fixed	olor	1	0.14285714285714285
s_aiin	B2	block_position_fixed	oly	1	0.14285714285714285
s_aiin	B3	block_position_fixed	sha	1	0.5
s_aiin	B3	block_position_fixed	shee'	1	0.5
s_aiin	B4	block_position_fixed	chcphdy	1	0.3333333333333333
s_aiin	B4	block_position_fixed	daiin	1	0.3333333333333333
s_aiin	B4	block_position_fixed	oky	1	0.3333333333333333
s_aiin	B5	block_position_fixed	chey	1	0.25
s_aiin	B5	block_position_fixed	chokey	1	0.25
s_aiin	B5	block_position_fixed	chor	1	0.25
s_aiin	B5	block_position_fixed	doal	1	0.25
s_aiin	B6	block_position_fixed	char	1	0.2
s_aiin	B6	block_position_fixed	chokchol	1	0.2
s_aiin	B6	block_position_fixed	okain	1	0.2
s_aiin	B6	block_position_fixed	qokeey	1	0.2
s_aiin	B6	block_position_fixed	shekey	1	0.2
s_aiin	B7	block_position_fixed	chey	1	0.25
s_aiin	B7	block_position_fixed	chody	1	0.25
s_aiin	B7	block_position_fixed	okeam	1	0.25
s_aiin	B7	block_position_fixed	otain	1	0.25
s_aiin	B8	block_position_fixed	cheky	1	0.2
s_aiin	B8	block_position_fixed	chky	1	0.2
s_aiin	B8	block_position_fixed	okaiin	1	0.2
s_aiin	B8	block_position_fixed	sheekchy	1	0.2
s_aiin	B8	block_position_fixed	sy	1	0.2
s_aiin	B9	block_position_fixed	cheeos	1	0.25
s_aiin	B9	block_position_fixed	ody	1	0.25
s_aiin	B9	block_position_fixed	okey	1	0.25
s_aiin	B9	block_position_fixed	qotchy	1	0.25
