position_s	position_aiin	position_x	x	x_missing_reason	physical_block	currier	hand	joint_class	normalized_block_position	block_bin_fixed	block_bin_coarse	line_id	normalized_line_position	line_category	s_is_line_start	x_is_line_end	token_before_3	token_before_2	token_before_1	token_after_1	token_after_2	token_after_3	tokens_from_line_start	tokens_to_line_end	tokens_from_block_start	tokens_to_block_end
6485	6486	6487	olor		2/2#3	2	2	2/2	0.21764705882352942	B2	BLOCK_MIDDLE	f39r.12	0.3	LINE_MIDDLE	false	false	aiin	tolchdaiin	chckhy	chls	aiin	oky	3	7	111	399
6503	6504	6505	daiin		2/2#3	2	2	2/2	0.2529411764705882	B2	BLOCK_MIDDLE	f39r.13	1	LINE_LATE	false	false	sheolkedy	otedy	tedy	shckhy	chekl	ol	10	0	129	381
6995	6996	6997	shekey		2/5#0	2	5	2/5	0.6790123456790124	B6	BLOCK_MIDDLE	f41v.3	0.25	LINE_MIDDLE	false	false	dar	dshedy	tchey	okedy	okaly	daiin	3	9	110	52
7992	7993	7994	shee		2/2#5	2	2	2/2	0.1282051282051282	B1	BLOCK_START	f46r.3	0.75	LINE_MIDDLE	false	false	she	dalshedy	qokol	ykar	daiin	tshedar	9	3	35	238
9386	9387	9388	daiin		1/1#8	1	1	1/1	0.4602446483180428	B4	BLOCK_MIDDLE	f52v.10	1	LINE_LATE	false	false	qokody	chol	sol	shor	qodaiin	ckhey	5	0	301	353
9598	9599	9600	okeam		1/1#8	1	1	1/1	0.7844036697247706	B7	BLOCK_MIDDLE	f54r.8	0.75	LINE_MIDDLE	false	false	ckho	dar	sheekal	etchal	oaiin	or	6	2	513	141
9696	9697	9698	qotchy		1/1#8	1	1	1/1	0.9342507645259939	B9	BLOCK_END	f54v.7	0.8	LINE_END	false	true	daiin	sheody	qoctheol	daiino	d	aim	4	1	611	43
9771	9772	9773	daiin		2/2#7	2	2	2/2	0.13596491228070176	B1	BLOCK_START	f55r.3	1	LINE_LATE	false	false	qokar	okaiin	chckhy	or	orol	char	10	0	31	197
9941	9942	9943	okaiin		2/2#7	2	2	2/2	0.881578947368421	B8	BLOCK_END	f55v.10	0.2727272727272727	LINE_MIDDLE	false	false	otaky	oaiin	ol	oky	ytaiin	otar	3	8	201	27
10104	10105	10106	chokchol		1/1#9	1	1	1/1	0.6994818652849741	B6	BLOCK_MIDDLE	f56v.5	1	LINE_LATE	false	false	qoteees	sho	kcheey	chor	ckhos	kchokchy	4	0	135	58
16829	16830	16831	al		2/2#8	2	2	2/2	0.29183438757906843	B2	BLOCK_MIDDLE	f77r.42	0.8571428571428571	LINE_END	false	true	qokeedy	qokeedy	qokeey	d	chee	ol	6	1	2030	4926
17469	17470	17471	shee'		2/2#8	2	2	2/2	0.3838412880966072	B3	BLOCK_MIDDLE	f78r.37	0.5	LINE_MIDDLE	false	false	or	osal	ol	aiin	oly	sar	3	3	2670	4286
19634	19635	19636	okain		2/2#8	2	2	2/2	0.695083381253594	B6	BLOCK_MIDDLE	f81v.6	0.8	LINE_LATE	false	false	cheol	lky	l	daldy	olor	ol	8	2	4835	2121
19954	19955	19956	chey		2/2#8	2	2	2/2	0.7410868315123634	B7	BLOCK_MIDDLE	f82r.16	0.7272727272727273	LINE_MIDDLE	false	false	r	or	ol	racty	dam	dshedy	8	3	5155	1801
20531	20532	20533	chky		2/2#8	2	2	2/2	0.824036802760207	B8	BLOCK_END	f83r.10	0.75	LINE_MIDDLE	false	false	skal	dain	cthal	lal	sam	sor	9	3	5732	1224
20703	20704	20705	sheekchy		2/2#8	2	2	2/2	0.8487636572742956	B8	BLOCK_END	f83r.33	0.4	LINE_MIDDLE	false	false	lchedy	qokey	sy	qokey	sain	shky	2	3	5904	1052
21884	21885	21886	ol		3/2#0	3	2	3/2	0.2549800796812749	B2	BLOCK_MIDDLE	f85r1.13	0.7272727272727273	LINE_MIDDLE	false	false	ykeeeody	qotal	ol	daldy	shody	daror	8	3	128	374
22004	22005	22006	chcphdy		3/2#0	3	2	3/2	0.4940239043824701	B4	BLOCK_MIDDLE	f85r1.26	0.6666666666666666	LINE_MIDDLE	false	false	opchdy	qofchdy	dar	dar	or	daiin	8	4	248	254
24368	24369	24370	oky		4/1#0	4	1	4/1	0.444672131147541	B4	BLOCK_MIDDLE	f88r.8	0.8181818181818182	LINE_LATE	false	false	qokor	daiin	sar	sam	oain	or	9	2	217	271
24424	24425	24426	chor		4/1#0	4	1	4/1	0.5594262295081968	B5	BLOCK_MIDDLE	f88r.20	0.5555555555555556	LINE_MIDDLE	false	false	qokeey	s	chy	oteor	aiin	chosals	5	4	273	215
24531	24532	24533	chody		4/1#0	4	1	4/1	0.7786885245901639	B7	BLOCK_MIDDLE	f88v.9	0.5	LINE_MIDDLE	false	false	choeey	keeod	y	okearcheol	archeey	sairal	4	4	380	108
26020	26021	26022	oly		5/3#0	5	3	5/3	0.27902621722846443	B2	BLOCK_MIDDLE	f94v.9	0.9	LINE_END	false	true	y	ypchdair	ol	ol	air	cheey	9	1	149	385
26393	26394	26395	ody		5/3#0	5	3	5/3	0.9775280898876404	B9	BLOCK_END	f95v1.12	0.2222222222222222	LINE_EARLY	false	false	tshes	qokain	shotshey	olkchdy	qotaiin	shcthy	2	7	522	12
26478	26479	26480	chokey		4/1#2	4	1	4/1	0.5179856115107914	B5	BLOCK_MIDDLE	f96r.11	0.8333333333333334	LINE_END	false	true	cheody	shodol	qokchod	dcheor	cheol	cheodaiin	5	1	72	67
28298	28299	28300	chey		X/3#0	X	3	X/3	0.08795811518324607	B0	BLOCK_START	f103r.14	0.6666666666666666	LINE_MIDDLE	false	false	qoky	shey	lol	eekain	chcthy	qoky	8	4	168	1742
29133	29134	29135	chey		X/3#0	X	3	X/3	0.525130890052356	B5	BLOCK_MIDDLE	f104r.2	0.5384615384615384	LINE_MIDDLE	false	false	yteeody	cheedaiin	cheodar	tair	os	aiin	7	6	1003	907
29557	29558	29559	otain		X/3#0	X	3	X/3	0.7471204188481675	B7	BLOCK_MIDDLE	f104r.45	0.4	LINE_MIDDLE	false	false	daiin	olcheeo	l	ar	chedy	qokaiin	4	6	1427	483
29713	29714	29715	cheky		X/3#0	X	3	X/3	0.8287958115183246	B8	BLOCK_END	f104v.14	0.6666666666666666	LINE_MIDDLE	false	false	ytohedy	qokeeo	lcheolshedy	daindl	tolkshey	chocthy	4	2	1583	327
30236	30237	30238	chey		Y/3#0	Y	3	Y/3	0.25096525096525096	B2	BLOCK_MIDDLE	f105r.20	0.07692307692307693	LINE_START	true	false	odaiin	aiir	al	teol	ykair	paiir	1	12	195	582
30736	30737	30738	sy		Y/3#0	Y	3	Y/3	0.8944658944658944	B8	BLOCK_END	f105v.30	0.9090909090909091	LINE_END	false	true	okeedy	kaiin	aiin	ychtaiir	aiichy	dol	10	1	695	82
