mechanism_id	scaling_policy_id	family	available_observations	total_observations	corpus_unstable_groups	seed_unstable_groups	scale_not_converged_groups	applicability	coverage
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	cross-scale	18	144	0	0	0	MIXED	0.125000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	5	MIXED	0.250000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	cross-scale	18	144	0	0	0	MIXED	0.125000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_convention	LITERAL_RESET_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_convention	LITERAL_RESET_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_convention	LITERAL_RESET_V1	cross-scale	36	144	0	0	0	MIXED	0.250000
negative_randomized_convention	LITERAL_RESET_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_convention	LITERAL_RESET_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_convention	LITERAL_RESET_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_convention	LITERAL_RESET_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_convention	LITERAL_RESET_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_convention	LITERAL_RESET_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	2	MIXED	0.250000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	cross-scale	0	144	0	0	0	MIXED	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	edit family	0	72	0	0	0	DIRECTLY_APPLICABLE	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	lexical paradigm	0	54	0	0	0	DIRECTLY_APPLICABLE	0.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	1	MIXED	0.250000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	cross-scale	18	144	0	0	0	MIXED	0.125000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
negative_randomized_path	LITERAL_RESET_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_path	LITERAL_RESET_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_path	LITERAL_RESET_V1	cross-scale	36	144	0	0	0	MIXED	0.250000
negative_randomized_path	LITERAL_RESET_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_path	LITERAL_RESET_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
negative_randomized_path	LITERAL_RESET_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
negative_randomized_path	LITERAL_RESET_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
negative_randomized_path	LITERAL_RESET_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
negative_randomized_path	LITERAL_RESET_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	4	MIXED	0.250000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	cross-scale	18	144	0	0	0	MIXED	0.125000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	lexical paradigm	54	54	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_ambiguous	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	2	MIXED	0.250000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	cross-scale	0	144	0	0	0	MIXED	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	edit family	0	72	0	0	0	DIRECTLY_APPLICABLE	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	lexical paradigm	0	54	0	0	0	DIRECTLY_APPLICABLE	0.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cue_based	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	2	MIXED	0.250000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	cross-scale	0	144	0	0	0	MIXED	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	edit family	0	72	0	0	0	DIRECTLY_APPLICABLE	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	lexical paradigm	0	54	0	0	0	DIRECTLY_APPLICABLE	0.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	cross-scale	36	144	0	0	3	MIXED	0.250000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	lexical paradigm	54	54	0	0	6	DIRECTLY_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	line	72	72	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	locus	0	72	0	0	0	NOT_APPLICABLE_METADATA	0.000000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	2D-LITE	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	boundary	18	18	0	0	0	ASSEMBLER_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	cross-scale	18	144	0	0	0	MIXED	0.125000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	edit family	72	72	0	0	0	DIRECTLY_APPLICABLE	1.000000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	folio	0	72	0	0	0	NOT_APPLICABLE_STRUCTURE	0.000000
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	hierarchy	0	72	0	0	0	MIXED	0.000000
